#NOTE: MSDs should be divided by the total number of molecules (N).
#Time	MSD__water_water	MSD__water_Cl	MSD__water_COO	MSD__water_Na	MSD__Cl_Cl	MSD__Cl_COO	MSD__Cl_Na	MSD__COO_COO	MSD__COO_Na	MSD__Na_Na	
 2000 2774.44 -138.22 -386.753 -112.541 22.7657 -3.24266 3.79525 152.638 2.12316 23.1917
 4000 4332.89 -243.594 -589.426 -173.54 40.312 -5.39722 5.99021 242.125 0.642374 36.6992
 6000 5677.73 -347.691 -767.225 -228.279 57.2579 -6.87128 8.00594 322.048 -1.39898 49.0495
 8000 7005.25 -452.68 -952.503 -284.296 74.4648 -8.72343 10.096 405.402 -3.24481 61.6728
 10000 8277.65 -557.095 -1129.99 -338.095 91.4646 -10.626 12.2211 486.665 -5.61173 74.1263
 12000 9557.76 -661.404 -1312.9 -392.613 108.529 -12.6619 14.3054 569.406 -7.5435 86.533
 14000 10839.8 -764.83 -1496.82 -448.5 125.431 -14.6228 16.5018 652.159 -9.67821 99.1044
 16000 12073.3 -867.736 -1669.31 -501.806 142.276 -16.5913 18.6119 731.158 -11.8358 111.263
 18000 13344.3 -972.247 -1847.54 -557.284 159.196 -18.3969 20.9274 811.738 -14.2313 123.714
 20000 14580.6 -1074.48 -2025.26 -610.679 176.065 -20.2434 22.921 892.102 -16.2448 135.941
 20000 14576.5 -1086.94 -1998.78 -620.998 179.035 -21.282 23.4728 884.847 -14.602 136.943
 40000 26896.1 -2103.08 -3788.03 -1145.4 347.784 -40.774 43.6303 1698.17 -35.694 255.827
 60000 39529.9 -3152.52 -5594.53 -1677.83 520.505 -61.3507 63.9638 2520.31 -54.0147 375.623
 80000 52145 -4213.92 -7320.97 -2219.69 695.658 -87.2413 86.8651 3323.81 -78.0999 496.908
 100000 64558.8 -5276.65 -9001 -2763.86 873.868 -119.655 110.385 4135.15 -101.781 617.336
 120000 76887.1 -6310.79 -10705.6 -3307.64 1048.88 -150.932 131.613 4937.32 -120.63 739.129
 140000 89425.3 -7370.72 -12398.7 -3866.67 1223.44 -175.827 154.746 5726.99 -141.358 861.965
 160000 102025 -8432.99 -14086.2 -4434.61 1399.04 -204.38 177.314 6514.33 -157.282 985.119
 180000 114490 -9473.77 -15747.2 -5027.67 1572.75 -234.798 201.718 7294.58 -172.751 1110.47
 200000 126940 -10516.2 -17434.7 -5591.51 1746.73 -265.12 224.511 8081.5 -188.12 1232.21
 200000 126367 -10445.5 -17479.1 -5491.42 1771.86 -331.332 213.698 8234.46 -200.079 1231.94
 400000 252523 -21126.9 -34477.9 -11146.1 3527.29 -611.027 480.477 16227.3 -432.195 2446.37
 600000 374166 -31244.9 -50370.5 -17118.6 5178.96 -912.934 760.607 23561.1 -489.925 3604.39
 800000 488268 -40780.3 -64752 -23097.4 6875.74 -1522.55 1029.68 30721.6 -373.569 4690.47
 1e+06 591368 -49125 -77785.9 -28820.3 8468.75 -2292.36 1236.9 37691 -223.137 5771.19
 1.2e+06 696534 -57613.2 -91877.3 -34211.7 10073.9 -2917.75 1381.96 44598.2 3.66402 6812.64
 1.4e+06 811773 -66989 -107940 -39673.8 11754.2 -3368.4 1535.56 51941.3 198.905 7888.66
 1.6e+06 930290 -76986.3 -124351 -44932.5 13458.7 -3666.58 1722.43 59332.4 255.684 8951.32
 1.8e+06 1.05413e+06 -87086.2 -142899 -49728.5 15189.4 -3896.97 1832.58 67240.7 391.334 9932.81
 2e+06 1.17671e+06 -97279.3 -160802 -54506 16991.8 -4260 1937.29 75154.7 557.193 10915.5
 2e+06 1.02676e+06 -89853.7 -139861 -39096.1 17122.9 -5636.69 504.395 71029.4 -209.775 9607.55
 4e+06 2.25124e+06 -195177 -324209 -78542.7 35068 -8757.16 2289.21 155948 -1583.63 18123.2
 6e+06 3.36673e+06 -295188 -477667 -116759 53919.9 -17074 4499.92 239790 -2315.23 25225
 8e+06 4.39981e+06 -383563 -626434 -155899 72461.3 -28167.8 6108.67 325300 -761.044 31939.7
 1e+07 5.67095e+06 -499702 -790824 -204174 93303.6 -36602.5 9693.08 414974 -2083.84 39960.4
 1.2e+07 6.76563e+06 -605218 -904235 -255675 116988 -55881.8 13128.5 514260 -6033.72 50615.4
 1.4e+07 7.51746e+06 -662349 -1.0008e+06 -302116 135611 -81972.8 15943.1 624457 -11049 61700.8
 1.6e+07 8.1603e+06 -707058 -1.09375e+06 -341681 153857 -111230 18112.1 742324 -16870.5 72448.7
 1.8e+07 8.50042e+06 -728648 -1.1584e+06 -356000 172324 -145251 17036.7 862454 -24310.5 82616.4
 2e+07 8.87048e+06 -762456 -1.19643e+06 -375491 192659 -180883 17118 982941 -36326.9 95256.2
 2e+07 1.04365e+07 -742764 -1.90604e+06 -363998 202304 -179521 -2899.17 1.15484e+06 35351.9 77765.4
 4e+07 2.10203e+07 -776208 -5.10506e+06 -1.02057e+06 349173 -491928 -22030.6 3.1499e+06 74737 253957
 6e+07 2.6001e+07 24513.7 -7.82506e+06 -1.8325e+06 282322 -577223 -74483.7 4.28206e+06 199474 468340
 8e+07 2.99153e+07 1.2599e+06 -1.18351e+07 -2.21215e+06 257152 -891147 -156831 6.32732e+06 427097 549515
 1e+08 5.14612e+07 1.65847e+06 -1.99191e+07 -3.27668e+06 277426 -816248 -340466 8.29644e+06 1.16414e+06 637608
 1.2e+08 7.69941e+07 1.1411e+06 -2.57166e+07 -5.45799e+06 189576 -516743 -259137 9.05842e+06 1.72839e+06 722822
