#NOTE: MSDs should be divided by the temperature.
#NOTE: MSDs have been divided by 2 or 10 (i.e., the viscosity computed from all components).
#Time	MSD_xx	MSD_yy	MSD_zz	MSD_xy	MSD_xz	MSD_yz	MSD_off	MSD_all	MSD_bulkvisc
 20 5.78852e+09 5.80024e+09 5.78487e+09 5.7804e+09 5.79647e+09 5.78628e+09 5.78772e+09 5.78911e+09 1.01683e+10
 40 1.7925e+10 1.79653e+10 1.79135e+10 1.78943e+10 1.79538e+10 1.79169e+10 1.79217e+10 1.79268e+10 3.71824e+10
 60 3.14154e+10 3.14938e+10 3.14003e+10 3.13519e+10 3.14763e+10 3.14029e+10 3.14104e+10 3.14208e+10 7.66172e+10
 80 4.46899e+10 4.4808e+10 4.46712e+10 4.45727e+10 4.4776e+10 4.4665e+10 4.46712e+10 4.4692e+10 1.25412e+11
 100 5.77467e+10 5.78985e+10 5.77173e+10 5.75524e+10 5.78373e+10 5.76889e+10 5.76929e+10 5.77307e+10 1.81014e+11
 120 7.10537e+10 7.12364e+10 7.10103e+10 7.07636e+10 7.11305e+10 7.09489e+10 7.09477e+10 7.10087e+10 2.41207e+11
 140 8.51238e+10 8.53383e+10 8.50593e+10 8.47329e+10 8.51743e+10 8.49666e+10 8.49579e+10 8.50443e+10 3.04538e+11
 160 1.00186e+11 1.00437e+11 1.0009e+11 9.96985e+10 1.00198e+11 9.99762e+10 9.99577e+10 1.0007e+11 3.70157e+11
 180 1.16042e+11 1.16338e+11 1.15909e+11 1.15465e+11 1.16012e+11 1.15779e+11 1.15752e+11 1.1589e+11 4.37143e+11
 200 1.32354e+11 1.32703e+11 1.32186e+11 1.31693e+11 1.32288e+11 1.32036e+11 1.32006e+11 1.32169e+11 5.04525e+11
 200 1.32323e+11 1.32655e+11 1.32204e+11 1.31658e+11 1.32189e+11 1.32086e+11 1.31978e+11 1.32144e+11 5.04648e+11
 400 3.11193e+11 3.12398e+11 3.10997e+11 3.09384e+11 3.10751e+11 3.0998e+11 3.10038e+11 3.10635e+11 1.13476e+12
 600 5.03901e+11 5.06359e+11 5.0393e+11 5.011e+11 5.0399e+11 5.01538e+11 5.02209e+11 5.03217e+11 1.57231e+12
 800 7.02761e+11 7.06406e+11 7.0297e+11 6.97974e+11 7.02694e+11 6.98829e+11 6.99832e+11 7.01518e+11 1.7074e+12
 1000 9.04778e+11 9.09392e+11 9.0527e+11 8.97637e+11 9.03862e+11 8.98358e+11 8.99952e+11 9.02563e+11 1.57664e+12
 1200 1.10806e+12 1.11412e+12 1.10946e+12 1.09821e+12 1.10585e+12 1.09939e+12 1.10115e+12 1.10491e+12 1.34068e+12
 1400 1.31225e+12 1.31988e+12 1.31503e+12 1.29917e+12 1.30825e+12 1.30108e+12 1.30283e+12 1.30799e+12 1.14084e+12
 1600 1.51716e+12 1.52688e+12 1.52107e+12 1.50067e+12 1.51077e+12 1.50367e+12 1.50504e+12 1.5117e+12 1.04572e+12
 1800 1.72257e+12 1.73436e+12 1.7276e+12 1.70244e+12 1.71375e+12 1.70652e+12 1.70757e+12 1.71581e+12 1.06101e+12
 2000 1.92793e+12 1.94171e+12 1.93435e+12 1.90428e+12 1.91693e+12 1.90979e+12 1.91034e+12 1.92007e+12 1.14326e+12
 2000 1.93473e+12 1.95209e+12 1.93344e+12 1.90406e+12 1.91679e+12 1.91282e+12 1.91122e+12 1.92277e+12 1.1368e+12
 4000 3.97537e+12 4.02426e+12 4.00021e+12 3.94397e+12 3.94826e+12 3.96342e+12 3.95188e+12 3.97111e+12 1.3018e+12
 6000 6.00143e+12 6.0856e+12 6.07856e+12 5.99988e+12 5.97292e+12 6.01516e+12 5.99599e+12 6.01967e+12 1.37685e+12
 8000 8.02223e+12 8.14168e+12 8.15753e+12 8.05558e+12 7.99154e+12 8.10104e+12 8.04938e+12 8.07249e+12 1.47374e+12
 10000 1.00502e+13 1.02152e+13 1.02497e+13 1.01199e+13 1.00019e+13 1.02148e+13 1.01122e+13 1.0136e+13 1.54741e+12
 12000 1.20804e+13 1.22667e+13 1.23397e+13 1.21823e+13 1.20017e+13 1.23455e+13 1.21765e+13 1.21975e+13 1.62474e+12
 14000 1.41114e+13 1.43018e+13 1.44387e+13 1.42461e+13 1.39997e+13 1.45094e+13 1.42517e+13 1.42646e+13 1.71246e+12
 16000 1.61075e+13 1.63379e+13 1.65512e+13 1.62788e+13 1.60049e+13 1.66931e+13 1.63256e+13 1.63282e+13 1.79696e+12
 18000 1.81067e+13 1.83769e+13 1.86516e+13 1.83231e+13 1.79898e+13 1.88935e+13 1.84021e+13 1.83926e+13 1.86861e+12
 20000 2.00815e+13 2.04205e+13 2.07327e+13 2.03487e+13 1.99654e+13 2.10971e+13 2.04704e+13 2.04469e+13 1.94762e+12
 20000 2.02652e+13 2.05445e+13 2.06328e+13 2.03958e+13 1.98019e+13 2.11341e+13 2.04439e+13 2.04587e+13 1.91921e+12
 40000 4.01782e+13 4.15249e+13 4.19139e+13 4.11507e+13 3.95994e+13 4.27875e+13 4.11792e+13 4.11898e+13 2.75263e+12
 60000 6.08825e+13 6.25721e+13 6.3108e+13 6.2005e+13 5.97703e+13 6.29746e+13 6.15833e+13 6.1825e+13 3.55503e+12
 80000 8.20367e+13 8.41231e+13 8.46422e+13 8.26992e+13 8.00044e+13 8.29593e+13 8.18876e+13 8.25728e+13 4.36156e+12
 100000 1.03037e+14 1.05404e+14 1.0547e+14 1.03301e+14 1.00639e+14 1.04143e+14 1.02694e+14 1.03471e+14 5.15887e+12
 120000 1.24488e+14 1.27026e+14 1.26663e+14 1.24204e+14 1.21621e+14 1.2539e+14 1.23738e+14 1.24667e+14 5.99561e+12
 140000 1.46815e+14 1.49991e+14 1.48361e+14 1.45157e+14 1.42236e+14 1.46869e+14 1.44754e+14 1.46208e+14 6.81437e+12
