#NOTE: MSDs should be divided by the number of molecules of species i (N_i).
#NOTE: MSDs have been divided by the factor 6 (or 2, i.e., MSD_x, MSD_y, and MSD_z).
#Time	MSD__water	MSD__Cl	MSD__COO	MSD__Na	
 2000 10533.3 39.1137 54.9559 30.0452
 4000 16320.3 60.2269 85.387 46.2495
 6000 21626.1 79.4438 113.185 61.1243
 8000 26913.7 98.5536 140.955 75.9151
 10000 32150.4 117.359 168.35 90.4867
 12000 37352.8 135.943 195.511 104.901
 14000 42565.8 154.495 222.786 119.285
 16000 47759.1 172.968 249.892 133.539
 18000 52989.9 191.53 277.166 147.953
 20000 58223.1 210.057 304.304 162.364
 20000 58154.3 210.006 303.067 161.852
 40000 110540 395.157 574.205 304.74
 60000 162822 580.145 843.656 447.92
 80000 214885 763.62 1111.93 590.416
 100000 267312 948.121 1380.3 734.569
 120000 319434 1131.16 1648.1 877.429
 140000 371849 1313.7 1918.52 1021.1
 160000 424059 1494.44 2191.19 1163.59
 180000 476204 1674.97 2464.86 1305.6
 200000 528345 1856.52 2740.78 1447.15
 200000 528487 1862.31 2693.08 1443.02
 400000 1.05028e+06 3691.25 5488.97 2878.95
 600000 1.57159e+06 5496.61 8252.82 4333.85
 800000 2.09262e+06 7330.7 11048.7 5810.12
 1e+06 2.61475e+06 9155.91 13936.4 7273.02
 1.2e+06 3.13641e+06 10981.7 16782.3 8720.46
 1.4e+06 3.65958e+06 12857.2 19598.9 10160.8
 1.6e+06 4.18212e+06 14751 22397.6 11593.2
 1.8e+06 4.70755e+06 16635.4 25198.6 13027.1
 2e+06 5.23227e+06 18517.2 28023.1 14449.7
 2e+06 5.22958e+06 18694.3 27249 14531
 4e+06 1.04865e+07 37542.4 54004.5 28738.3
 6e+06 1.5755e+07 56272.2 77628.6 42636.9
 8e+06 2.10493e+07 76071 99497.6 56095.8
 1e+07 2.63389e+07 96032.5 123318 69519
 1.2e+07 3.16262e+07 116524 148141 83724
 1.4e+07 3.69649e+07 137715 172048 98155.2
 1.6e+07 4.22829e+07 160256 196339 112544
 1.8e+07 4.76211e+07 182309 217695 126738
 2e+07 5.29899e+07 204973 240802 141226
 2e+07 5.26986e+07 199077 218432 135303
 4e+07 1.06452e+08 424088 431761 282016
 6e+07 1.59114e+08 654217 648757 420264
 8e+07 2.13152e+08 871552 817173 587539
 1e+08 2.67097e+08 1.02256e+06 956191 796616
 1.2e+08 3.24192e+08 1.26997e+06 1.22289e+06 1.00114e+06
