#NOTE: MSDs should be divided by the total number of molecules (N).
#Time	MSD__water_water	MSD__water_Na	MSD__water_Cl	MSD__water_COO	MSD__Na_Na	MSD__Na_Cl	MSD__Na_COO	MSD__Cl_Cl	MSD__Cl_COO	MSD__COO_COO	
 2000 2656.16 -119.073 -200.071 -225.091 26.8536 2.9171 0.0896397 33.4986 -2.88502 97.5055
 4000 4499.17 -210.858 -373.022 -353.334 46.9711 6.6559 -2.6922 61.6461 -5.45312 160.762
 6000 6208.55 -299.825 -545.114 -472.447 66.5138 10.3581 -5.54652 89.2251 -7.42956 220.221
 8000 7903.72 -391.833 -717.68 -593.065 86.4996 14.1839 -8.17676 116.775 -9.69339 279.85
 10000 9582.11 -483.987 -890.113 -713.716 106.46 17.9789 -10.9145 144.284 -11.7209 339.151
 12000 11231.8 -572.56 -1060.52 -831.966 125.723 21.7293 -14.0827 171.449 -13.8532 397.531
 14000 12861.2 -662.375 -1227.49 -953.075 145.296 25.4186 -17.0971 198.079 -15.7595 456.882
 16000 14481 -751.075 -1393.56 -1073.94 164.824 29.0501 -20.1753 224.446 -17.2806 514.766
 18000 16097.2 -838.795 -1560.39 -1192.95 184.457 32.553 -23.2016 251.115 -19.1108 572.645
 20000 17701.9 -926.467 -1726.11 -1310.48 204.101 35.9677 -26.2001 277.629 -21.0426 630.254
 20000 17793.5 -918.315 -1749.89 -1316.03 200.102 36.8938 -27.2724 283.732 -21.8855 630.986
 40000 34530.8 -1835.42 -3490.12 -2522.24 393.556 75.1233 -47.7869 559.594 -37.0368 1195.42
 60000 51245.6 -2781.14 -5222.43 -3683.18 594.607 113.323 -68.4095 836.96 -58.6944 1751.95
 80000 68008.2 -3776.68 -6910.69 -4873.12 801.765 149.539 -76.6851 1110.22 -83.7968 2305.13
 100000 83707.3 -4654.27 -8538.96 -6014.74 1003.01 174.237 -93.3071 1381.78 -110.438 2868.62
 120000 99261.1 -5564.52 -10121.1 -7143.49 1205.28 203.95 -109.34 1641.26 -133.588 3411.38
 140000 115230 -6540.5 -11711 -8333.6 1411.21 240.152 -118.574 1900.23 -163.628 3988.17
 160000 131004 -7494.68 -13261.3 -9532.29 1611.38 272.722 -120.104 2158.82 -208.349 4591.1
 180000 146589 -8447.11 -14764.9 -10786.1 1808.98 302.585 -117.007 2408.88 -243.565 5190.49
 200000 162262 -9404 -16275.9 -12065.3 2013.2 332.303 -116.917 2656.88 -272.114 5786.99
 200000 156924 -9226.3 -15596.4 -11981.7 2033.48 281.779 -110.277 2584.45 -270.939 5765.22
 400000 309138 -18226.1 -30101 -25074.9 4099.4 526.125 -281.042 5026 -607.055 12210.9
 600000 455059 -27620.5 -43941.5 -36478.5 6060.91 849.789 -285.269 7399.28 -1203.4 18309.1
 800000 594432 -36766.4 -57320.7 -46912.8 7940.63 1179.15 -283.64 9730.9 -1895.67 24304.9
 1e+06 719776 -45335.7 -69397.7 -55897.1 9933.77 1353.67 -307.856 12088 -2904.48 30510.2
 1.2e+06 846546 -53915.7 -81628 -64767.9 12075.2 1518.33 -544.237 14419.7 -3820.8 36777.1
 1.4e+06 964971 -60578.7 -93490.8 -74214.3 13982.7 1671.3 -1181.51 16596.7 -4433.27 43093.9
 1.6e+06 1.07708e+06 -66788.5 -104643 -83545.7 15846.3 1881.24 -2049.28 18561.3 -4940.3 49508.2
 1.8e+06 1.21039e+06 -73034.8 -118393 -94734.1 17742.1 2056.32 -2903 20943.2 -5379.42 56460.1
 2e+06 1.34385e+06 -79890.7 -132100 -105169 19847.4 2129.39 -3583.98 23412.9 -5890.52 63003.3
 2e+06 1.5097e+06 -105377 -142386 -110802 23632.2 3898.41 -3232.21 22807.9 -2629.33 56846.7
 4e+06 2.45624e+06 -153441 -243589 -177368 43210.5 4754.5 -16499.5 45371.1 -17175.4 140187
 6e+06 3.26875e+06 -230793 -304291 -243446 65873 9322.51 -30768.5 57150.3 -28167.6 216259
 8e+06 4.47548e+06 -290995 -447192 -296905 82087.3 15753.3 -46914 80677.8 -36852.7 284439
 1e+07 6.39447e+06 -472206 -630068 -356233 111443 31483.8 -56497.6 103781 -42578.9 337348
 1.2e+07 7.21236e+06 -589928 -655371 -444032 141329 36610.5 -67622.4 104675 -42400.3 389819
 1.4e+07 8.35099e+06 -718019 -714684 -568870 172051 38804 -68653.9 114600 -45115.8 449212
 1.6e+07 9.89477e+06 -860028 -820214 -722623 198184 45978.1 -68530.3 126001 -41200.6 502994
 1.8e+07 1.14491e+07 -1.06021e+06 -903527 -843697 222095 53731.2 -42928.9 134018 -38798.4 507236
 2e+07 1.31492e+07 -1.29097e+06 -1.01489e+06 -909451 259306 62674.3 -28505.5 149035 -43538 523472
 2e+07 9.01557e+06 -427325 -497354 -1.82521e+06 143606 31601.8 -126302 105951 -102365 1.19571e+06
 4e+07 3.29523e+07 -2.45777e+06 -2.25418e+06 -4.20219e+06 348260 53760.7 334587 385609 -94789.6 1.42687e+06
