# Time-averaged data for fix TEAve
# TimeStep v_TotEn
5100000 -14034.5
5200000 -14036.3
5300000 -14033.3
5400000 -14028.7
5500000 -14047
5600000 -14029.5
5700000 -14036
5800000 -14030.5
5900000 -14030.6
6000000 -14029.5
6100000 -14036.4
6200000 -14033.4
6300000 -14039.8
6400000 -14030
6500000 -14048.4
6600000 -14032.7
6700000 -14037.3
6800000 -14032.3
6900000 -14033.9
7000000 -14034.5
7100000 -14046.5
7200000 -14041.1
7300000 -14031.2
7400000 -14037
7500000 -14035.5
7600000 -14038.7
7700000 -14031.3
7800000 -14034.5
7900000 -14031.5
8000000 -14035.4
8100000 -14030.4
8200000 -14034.2
8300000 -14028
8400000 -14032.7
8500000 -14034
8600000 -14030.1
8700000 -14022.7
8800000 -14027.6
8900000 -14042.1
9000000 -14040.7
9100000 -14033.3
9200000 -14036.7
9300000 -14038.1
9400000 -14029.2
9500000 -14024
9600000 -14033.9
9700000 -14034.3
9800000 -14039.3
9900000 -14034.6
10000000 -14038
10100000 -14031.2
10200000 -14027.4
10300000 -14035.5
10400000 -14033.6
10500000 -14029.9
10600000 -14029.2
10700000 -14041.5
10800000 -14028.9
10900000 -14036.1
11000000 -14028.3
11100000 -14037.9
11200000 -14031.7
11300000 -14030.8
11400000 -14032.7
11500000 -14035.1
11600000 -14032.1
11700000 -14029.9
11800000 -14034.8
11900000 -14040.8
12000000 -14032.4
12100000 -14034.5
12200000 -14038.2
12300000 -14031.5
12400000 -14038.1
12500000 -14035.3
12600000 -14033.6
12700000 -14035
12800000 -14036.2
12900000 -14035.9
13000000 -14027.9
13100000 -14041.7
13200000 -14024.7
13300000 -14034.1
13400000 -14037.6
13500000 -14044.7
13600000 -14036.7
13700000 -14036.2
13800000 -14029
13900000 -14038.8
14000000 -14040.3
14100000 -14025.9
14200000 -14041.9
14300000 -14033.6
14400000 -14026.7
14500000 -14038.7
14600000 -14033.4
14700000 -14034.4
14800000 -14033.6
14900000 -14039.5
15000000 -14034.4
15100000 -14042.1
15200000 -14032
15300000 -14029.6
15400000 -14045
15500000 -14037.6
15600000 -14031.2
15700000 -14031
15800000 -14026.8
15900000 -14032.4
16000000 -14034.1
16100000 -14039.1
16200000 -14028.9
16300000 -14034.3
16400000 -14034.5
16500000 -14037.4
16600000 -14024.4
16700000 -14031.1
16800000 -14031.9
16900000 -14032.9
17000000 -14033.6
17100000 -14028.7
17200000 -14036.9
17300000 -14021.4
17400000 -14039.3
17500000 -14035.6
17600000 -14029.2
17700000 -14038
17800000 -14031.5
17900000 -14028.7
18000000 -14036.3
18100000 -14036.1
18200000 -14031
18300000 -14038.4
18400000 -14037.4
18500000 -14037.2
18600000 -14032
18700000 -14034
18800000 -14034.8
18900000 -14040.9
19000000 -14036.4
19100000 -14032.7
19200000 -14041.5
19300000 -14032.3
19400000 -14039.1
19500000 -14028.4
19600000 -14033.8
19700000 -14041.5
19800000 -14032.8
19900000 -14034.6
20000000 -14034.3
20100000 -14046.4
20200000 -14035.6
20300000 -14024.5
20400000 -14035.5
20500000 -14032.4
20600000 -14031.5
20700000 -14028.6
20800000 -14031.7
20900000 -14025.1
21000000 -14033.7
21100000 -14037.3
21200000 -14035.1
21300000 -14034.1
21400000 -14036.8
21500000 -14027
21600000 -14034.7
21700000 -14030.9
21800000 -14044.1
21900000 -14038.8
22000000 -14032.5
22100000 -14027.5
22200000 -14037.6
22300000 -14030.3
22400000 -14038
22500000 -14034
22600000 -14035.1
22700000 -14033.4
22800000 -14037
22900000 -14037
23000000 -14033.9
23100000 -14035.3
23200000 -14031
23300000 -14032.8
23400000 -14034.6
23500000 -14022.7
23600000 -14035.4
23700000 -14031.4
23800000 -14040.8
23900000 -14035
24000000 -14043.2
24100000 -14038.1
24200000 -14028
24300000 -14038
24400000 -14038.9
24500000 -14031.6
24600000 -14030
24700000 -14031.4
24800000 -14038.4
24900000 -14035.4
25000000 -14036.7
25100000 -14031.9
25200000 -14037.6
25300000 -14034.6
25400000 -14035.4
25500000 -14037.5
25600000 -14041.8
25700000 -14029
25800000 -14037.7
25900000 -14029.1
26000000 -14035.8
26100000 -14035.6
26200000 -14032
26300000 -14035
26400000 -14041.1
26500000 -14025.8
26600000 -14036
26700000 -14030.4
26800000 -14042.5
26900000 -14033.5
27000000 -14032.3
27100000 -14037.2
27200000 -14035.8
27300000 -14035.4
27400000 -14040.6
27500000 -14038.6
27600000 -14036.3
27700000 -14031.1
27800000 -14040.3
27900000 -14035.5
28000000 -14041.6
28100000 -14033.4
28200000 -14036.2
28300000 -14038.9
28400000 -14034
28500000 -14037.1
28600000 -14024.1
28700000 -14032.1
28800000 -14033.7
28900000 -14034.9
29000000 -14035.3
29100000 -14042.8
29200000 -14034.1
29300000 -14032.4
29400000 -14027.8
29500000 -14035.9
29600000 -14035.7
29700000 -14031.8
29800000 -14037.1
29900000 -14037.3
30000000 -14036.3
30100000 -14038.1
30200000 -14036.4
30300000 -14030.6
30400000 -14038.3
30500000 -14032.4
30600000 -14023
30700000 -14036
30800000 -14038.4
30900000 -14038
31000000 -14038.1
31100000 -14032.9
31200000 -14028.9
31300000 -14034.5
31400000 -14034.8
31500000 -14035.6
31600000 -14036.4
31700000 -14039.2
31800000 -14032.2
31900000 -14033.2
32000000 -14032.7
32100000 -14029.8
32200000 -14024.2
32300000 -14030.3
32400000 -14035.3
32500000 -14037.6
32600000 -14031.2
32700000 -14031.7
32800000 -14033.8
32900000 -14042.1
33000000 -14038.2
33100000 -14030.7
33200000 -14036.6
33300000 -14041.1
33400000 -14034.5
33500000 -14030.8
33600000 -14035.9
33700000 -14030.7
33800000 -14035.9
33900000 -14032.9
34000000 -14034.6
34100000 -14039.8
34200000 -14032.3
34300000 -14032.4
