#NOTE: MSDs should be divided by the number of molecules of species i (N_i).
#NOTE: MSDs have been divided by the factor 6 (or 2, i.e., MSD_x, MSD_y, and MSD_z).
#Time	MSD__water	MSD__Na	MSD__Cl	MSD__COO	
 2000 8128.06 45.5671 53.1033 32.8391
 4000 12998.3 73.0561 87.2984 54.3347
 6000 17624.8 99.2115 120.011 74.7435
 8000 22239.3 125.229 152.508 94.9169
 10000 26838.5 151.078 184.851 114.997
 12000 31420.5 176.714 216.896 135.004
 14000 36041.2 202.526 249.114 155.064
 16000 40644.1 228.2 281.161 174.978
 18000 45225.6 253.705 312.993 194.755
 20000 49845.7 279.437 345.069 214.642
 20000 49642.8 277.776 343.757 214.842
 40000 95531.2 532.121 662.073 410.867
 60000 141593 787.071 980.617 603.954
 80000 187494 1040.58 1298.44 793.745
 100000 233368 1293.22 1616.9 983.674
 120000 279326 1547.58 1936.62 1172.19
 140000 325187 1801.4 2256.88 1361.96
 160000 371055 2055.53 2578.25 1554.22
 180000 416827 2310.24 2901.03 1747.25
 200000 462604 2564.49 3224.8 1937.7
 200000 463307 2561.63 3229.3 1929.98
 400000 920953 5102.59 6477.11 3838.04
 600000 1.37712e+06 7662.58 9743.49 5781.97
 800000 1.83414e+06 10243.4 12997.3 7706.51
 1e+06 2.29135e+06 12817.2 16278 9691.75
 1.2e+06 2.74859e+06 15389.3 19598.9 11633
 1.4e+06 3.20599e+06 17923.3 22899.2 13621.8
 1.6e+06 3.6626e+06 20417.8 26149.6 15572.2
 1.8e+06 4.11892e+06 22942.5 29425.3 17570.6
 2e+06 4.57543e+06 25449.7 32643.5 19509.6
 2e+06 4.58199e+06 25448.7 32204.2 19303.7
 4e+06 9.16241e+06 50412.8 63043.4 38015.8
 6e+06 1.36931e+07 76487.2 93260 57446.4
 8e+06 1.82286e+07 102450 123702 77241.4
 1e+07 2.27311e+07 128631 153829 95779.7
 1.2e+07 2.71675e+07 156404 184343 113424
 1.4e+07 3.15741e+07 184279 216672 128887
 1.6e+07 3.59733e+07 212138 249835 144426
 1.8e+07 4.03504e+07 240239 284279 160160
 2e+07 4.47721e+07 266906 318690 174329
 2e+07 4.48304e+07 258879 297570 141559
 4e+07 8.91011e+07 498296 625907 300911
 6e+07 1.33952e+08 800463 997670 399914
 8e+07 1.77023e+08 1.0814e+06 1.27112e+06 395556
 1e+08 2.17953e+08 1.4256e+06 1.55645e+06 400547
