# Time-averaged data for fix TEAve
# TimeStep v_TotEn
100000 -10736.8
200000 -10735.5
300000 -10742.6
400000 -10733.3
500000 -10739.6
600000 -10741.9
700000 -10736.6
800000 -10736.8
900000 -10741.2
1000000 -10732
1100000 -10732.4
1200000 -10735.9
1300000 -10740.7
1400000 -10732.8
1500000 -10734.4
1600000 -10734.2
1700000 -10730.9
1800000 -10737.8
1900000 -10736.3
2000000 -10731.1
2100000 -10737
2200000 -10737.6
2300000 -10734.9
2400000 -10737.9
2500000 -10736.6
2600000 -10740
2700000 -10730.8
2800000 -10735.6
2900000 -10741.9
3000000 -10739.6
3100000 -10734.3
3200000 -10735
3300000 -10729.5
3400000 -10742
3500000 -10739.8
3600000 -10730.3
3700000 -10734.3
3800000 -10728.4
3900000 -10735.2
4000000 -10734.1
4100000 -10736.3
4200000 -10735.8
4300000 -10741.7
4400000 -10742.7
4500000 -10730.5
4600000 -10738.4
4700000 -10735.8
4800000 -10734.8
4900000 -10733.5
5000000 -10741
