#NOTE: MSDs should be divided by the total number of molecules (N).
#Time	MSD__water_water	MSD__water_NaCl	MSD__water_COO	MSD__NaCl_NaCl	MSD__NaCl_COO	MSD__COO_COO	
 2000 1779.02 -149.064 -194.673 32.2238 -4.83521 88.0303
 4000 3164.3 -296.082 -372.846 63.7475 -8.97032 169.216
 6000 4423.97 -440.993 -546.39 94.4024 -12.3367 246.963
 8000 5649.18 -587.403 -719.115 125.524 -16.1696 324.691
 10000 6841.6 -730.472 -897.135 156.794 -20.8002 406.183
 12000 8012.98 -875.144 -1066.61 188.726 -25.8301 484.847
 14000 9172.41 -1016.46 -1245.12 220.025 -30.8891 566.329
 16000 10319 -1157.04 -1416.01 250.977 -36.5127 647.056
 18000 11454.4 -1295.26 -1592.62 281.647 -41.3074 729.428
 20000 12596.6 -1434.52 -1773.7 313.05 -46.7573 813.636
 20000 12715.5 -1471.73 -1714.35 318.497 -50.3846 800.672
 40000 24327.9 -2914.23 -3401.92 639.091 -109.439 1596.27
 60000 35521.8 -4410.73 -4818.95 976.266 -184.106 2325.43
 80000 46419.9 -5962.24 -6040.73 1332.43 -274.423 3018.53
 100000 57259 -7503.68 -7238.49 1690.41 -373 3728.27
 120000 68031.5 -9034.32 -8455.42 2042.69 -470.787 4446.34
 140000 79574 -10660.7 -9766.68 2405.89 -552.145 5171.79
 160000 90265.1 -12231.8 -10856.6 2762.41 -649.668 5852.4
 180000 102228 -13974.1 -12138.5 3139.62 -705.903 6513.8
 200000 115302 -15909.6 -13488.2 3543.85 -742.671 7169.93
 200000 118303 -16529.9 -12712.7 3668.42 -753.528 6708.26
 400000 220586 -32977.7 -21215.9 7476.38 -1731.83 12561.2
 600000 353249 -51804 -35766.6 11353.4 -2102.09 19413.7
 800000 487955 -70039.5 -52533.8 15092 -2460.02 27415.1
 1e+06 594976 -84647.8 -67269.2 18412.7 -3171.74 35525
 1.2e+06 681255 -97503.2 -76141.3 21861.8 -4861.15 43118.8
 1.4e+06 736011 -104604 -85590.3 24592.4 -7074.08 51880.7
 1.6e+06 759198 -106763 -92593.8 26528.4 -9657.75 60523.1
 1.8e+06 772422 -108054 -95353.1 27965.2 -12151.5 67862.1
 2e+06 789340 -114360 -92590.4 30469.9 -14397.3 72835.7
 2e+06 656164 -102812 -63227.9 29882 -18944.5 71863.4
 4e+06 1.23104e+06 -166748 -225638 49651.2 -22366.8 154340
 6e+06 2.07223e+06 -207116 -584067 62371.1 -18213.7 310007
 8e+06 2.68987e+06 -170002 -921242 84105.8 -76117.3 569156
 1e+07 4.86311e+06 -329310 -1.49441e+06 82549.1 -4073.5 660563
