#NOTE: MSDs should be divided by the number of molecules of species i (N_i).
#NOTE: MSDs have been divided by the factor 6 (or 2, i.e., MSD_x, MSD_y, and MSD_z).
#Time	MSD__water	MSD__NaCl	MSD__COO	
 2000 5769.33 34.0882 33.2065
 4000 11009.3 67.5901 60.6088
 6000 16164.8 100.552 86.9586
 8000 21305.9 133.381 113.225
 10000 26444.9 165.948 139.645
 12000 31578.2 198.351 165.717
 14000 36720.3 230.639 191.57
 16000 41861.7 262.883 217.431
 18000 46994.5 295.01 243.296
 20000 52149.4 327.179 269.541
 20000 52083.5 326.258 267.338
 40000 103357 645.425 525.344
 60000 154743 967.957 780.683
 80000 206005 1289.29 1035.01
 100000 257478 1613 1302.17
 120000 309162 1939.41 1572.52
 140000 360863 2267.46 1846.17
 160000 412654 2591.81 2122.92
 180000 464427 2915.9 2402.2
 200000 516285 3242.22 2681.44
 200000 513004 3222.15 2673.36
 400000 1.02892e+06 6467.65 5318.26
 600000 1.54517e+06 9794.12 7786.57
 800000 2.06317e+06 12933.7 10183.8
 1e+06 2.58007e+06 16206.9 12439.7
 1.2e+06 3.09256e+06 19575.7 14920.7
 1.4e+06 3.60769e+06 22817.6 17245.9
 1.6e+06 4.12169e+06 26059.7 19707.2
 1.8e+06 4.63857e+06 29145.4 22080.2
 2e+06 5.15716e+06 32118.1 24175
 2e+06 5.07701e+06 32522.7 22246.7
 4e+06 1.03878e+07 61900.8 48666.1
 6e+06 1.5662e+07 95624.6 75863.8
 8e+06 2.08525e+07 120053 113746
 1e+07 2.55898e+07 142349 148519
