#NOTE: MSDs should be divided by the temperature.
#NOTE: MSDs have been divided by 2 or 10 (i.e., the viscosity computed from all components).
#Time	MSD_xx	MSD_yy	MSD_zz	MSD_xy	MSD_xz	MSD_yz	MSD_off	MSD_all	MSD_bulkvisc
 20 5.96473e+09 5.99608e+09 5.99586e+09 5.9775e+09 5.99724e+09 5.97204e+09 5.98226e+09 5.98358e+09 8.84417e+09
 40 1.84719e+10 1.85691e+10 1.85769e+10 1.85259e+10 1.85796e+10 1.84975e+10 1.85344e+10 1.85363e+10 3.17877e+10
 60 3.23828e+10 3.25336e+10 3.25748e+10 3.24996e+10 3.25792e+10 3.24365e+10 3.25051e+10 3.25019e+10 6.43201e+10
 80 4.60712e+10 4.62434e+10 4.63478e+10 4.62525e+10 4.63651e+10 4.6161e+10 4.62596e+10 4.6244e+10 1.03387e+11
 100 5.9537e+10 5.97046e+10 5.98768e+10 5.97469e+10 5.99276e+10 5.9672e+10 5.97822e+10 5.97518e+10 1.46503e+11
 120 7.32635e+10 7.34173e+10 7.36214e+10 7.34676e+10 7.37585e+10 7.34791e+10 7.35684e+10 7.35146e+10 1.91547e+11
 140 8.77788e+10 8.79282e+10 8.81106e+10 8.7957e+10 8.84001e+10 8.81184e+10 8.81585e+10 8.80708e+10 2.37217e+11
 160 1.03337e+11 1.03474e+11 1.03609e+11 1.03448e+11 1.04093e+11 1.03811e+11 1.03784e+11 1.0366e+11 2.82861e+11
 180 1.19764e+11 1.19846e+11 1.19952e+11 1.19734e+11 1.20623e+11 1.20338e+11 1.20232e+11 1.20081e+11 3.27768e+11
 200 1.36716e+11 1.36702e+11 1.36809e+11 1.3647e+11 1.37629e+11 1.37351e+11 1.3715e+11 1.36987e+11 3.71173e+11
 200 1.3643e+11 1.36114e+11 1.37081e+11 1.36142e+11 1.37296e+11 1.37138e+11 1.36859e+11 1.36732e+11 3.7269e+11
 400 3.22635e+11 3.20773e+11 3.22566e+11 3.18866e+11 3.23547e+11 3.23348e+11 3.2192e+11 3.21949e+11 7.08598e+11
 600 5.2142e+11 5.17966e+11 5.20671e+11 5.14536e+11 5.24207e+11 5.25571e+11 5.21438e+11 5.2087e+11 8.93289e+11
 800 7.23853e+11 7.21201e+11 7.22465e+11 7.1524e+11 7.32777e+11 7.34909e+11 7.27642e+11 7.25588e+11 9.37045e+11
 1000 9.27587e+11 9.25662e+11 9.30063e+11 9.19266e+11 9.45573e+11 9.48219e+11 9.37686e+11 9.3372e+11 8.82071e+11
 1200 1.13136e+12 1.12992e+12 1.14305e+12 1.1273e+12 1.1604e+12 1.16359e+12 1.15043e+12 1.14417e+12 8.11051e+11
 1400 1.33527e+12 1.33462e+12 1.35842e+12 1.33798e+12 1.37709e+12 1.37902e+12 1.3647e+12 1.35593e+12 7.61911e+11
 1600 1.53944e+12 1.5367e+12 1.57375e+12 1.55052e+12 1.59404e+12 1.59616e+12 1.58024e+12 1.56813e+12 7.42637e+11
 1800 1.74317e+12 1.73818e+12 1.79009e+12 1.76451e+12 1.8111e+12 1.81618e+12 1.79727e+12 1.78122e+12 7.46784e+11
 2000 1.94793e+12 1.93996e+12 2.00584e+12 1.97915e+12 2.02917e+12 2.0364e+12 2.01491e+12 1.99478e+12 7.57506e+11
 2000 1.91414e+12 1.90636e+12 2.00683e+12 2.03206e+12 2.03037e+12 2.06015e+12 2.04086e+12 2.00149e+12 7.63183e+11
