# Time-averaged data for fix KEAve
# TimeStep v_KinEn
100000 2405.58
200000 2406.34
300000 2405.34
400000 2406.14
500000 2406.73
600000 2405.22
700000 2407.09
800000 2406.42
900000 2404.97
1000000 2405.34
1100000 2405.18
1200000 2405.49
1300000 2405.06
1400000 2406.25
1500000 2406.3
1600000 2406.43
1700000 2405.88
1800000 2406.57
1900000 2405.37
2000000 2406.09
2100000 2405.77
2200000 2407.22
2300000 2404.96
2400000 2405.47
2500000 2405.85
2600000 2405.13
2700000 2405.91
2800000 2404.99
2900000 2405.96
3000000 2405.09
3100000 2405.81
3200000 2407
3300000 2405.97
3400000 2407.39
3500000 2405.28
3600000 2405.22
3700000 2405.63
3800000 2405.71
3900000 2405.23
4000000 2405.67
4100000 2405.89
4200000 2405.73
4300000 2405.96
4400000 2406.27
4500000 2406.78
4600000 2406.54
4700000 2405.48
4800000 2405.93
4900000 2405.69
5000000 2406.24
