# Time-averaged data for fix PEAve
# TimeStep v_PotEn
100000 -13734
200000 -13737.4
300000 -13739.2
400000 -13740.4
500000 -13745.8
600000 -13743.2
700000 -13738.3
800000 -13735.7
900000 -13741.6
1000000 -13745.3
1100000 -13745.8
1200000 -13742.1
1300000 -13749.1
1400000 -13737.2
1500000 -13739.2
1600000 -13744.5
1700000 -13741.5
1800000 -13745.1
1900000 -13741.1
2000000 -13742
2100000 -13745.4
2200000 -13744.3
2300000 -13743.6
2400000 -13741.2
2500000 -13743.5
2600000 -13741.8
2700000 -13741.5
2800000 -13744.6
2900000 -13740.4
3000000 -13740.4
3100000 -13738.3
3200000 -13739.2
3300000 -13740.4
3400000 -13736.3
3500000 -13743.1
3600000 -13745.3
3700000 -13742.3
3800000 -13745.2
3900000 -13741.7
4000000 -13745.3
4100000 -13742.7
4200000 -13740.6
4300000 -13738.6
4400000 -13741.1
4500000 -13741
4600000 -13743.6
4700000 -13742.9
4800000 -13743.2
4900000 -13739.9
5000000 -13740.2
