# Time-averaged data for fix PressAve
# TimeStep c_P
100000 50.7279
200000 50.3218
300000 50.1855
400000 49.6914
500000 50.0356
600000 48.8531
700000 50.8854
800000 48.2937
900000 49.6295
1000000 49.067
1100000 49.5433
1200000 49.6555
1300000 49.656
1400000 49.0791
1500000 49.2626
1600000 49.4364
1700000 50.3717
1800000 50.2638
1900000 49.533
2000000 51.0138
2100000 48.8064
2200000 51.169
2300000 49.5839
2400000 49.914
2500000 48.6303
2600000 50.2994
2700000 49.3995
2800000 49.4843
2900000 48.5071
3000000 49.3581
3100000 48.9132
3200000 50.8275
3300000 49.865
3400000 48.7141
3500000 50.5456
3600000 50.4191
3700000 47.7784
3800000 49.7914
3900000 49.8449
4000000 50.2658
4100000 49.6663
4200000 50.0603
4300000 49.2396
4400000 49.569
4500000 51.3229
4600000 49.8889
4700000 49.3122
4800000 49.3877
4900000 50.3543
5000000 48.4383
