# Time-averaged data for fix TempAve
# TimeStep c_T
100000 393.095
200000 393.218
300000 393.055
400000 393.186
500000 393.282
600000 393.035
700000 393.34
800000 393.231
900000 392.994
1000000 393.054
1100000 393.029
1200000 393.08
1300000 393.009
1400000 393.203
1500000 393.211
1600000 393.233
1700000 393.142
1800000 393.257
1900000 393.059
2000000 393.177
2100000 393.125
2200000 393.362
2300000 392.993
2400000 393.075
2500000 393.138
2600000 393.021
2700000 393.147
2800000 392.998
2900000 393.157
3000000 393.014
3100000 393.131
3200000 393.325
3300000 393.159
3400000 393.39
3500000 393.045
3600000 393.035
3700000 393.103
3800000 393.116
3900000 393.037
4000000 393.11
4100000 393.144
4200000 393.119
4300000 393.155
4400000 393.206
4500000 393.291
4600000 393.25
4700000 393.078
4800000 393.151
4900000 393.112
5000000 393.203
