# Time-averaged data for fix TEAve
# TimeStep v_TotEn
100000 -11328.4
200000 -11331.1
300000 -11333.9
400000 -11334.2
500000 -11339
600000 -11338
700000 -11331.2
800000 -11329.3
900000 -11336.7
1000000 -11340
1100000 -11340.6
1200000 -11336.6
1300000 -11344.1
1400000 -11331
1500000 -11332.9
1600000 -11338.1
1700000 -11335.6
1800000 -11338.5
1900000 -11335.8
2000000 -11336
2100000 -11339.7
2200000 -11337.1
2300000 -11338.7
2400000 -11335.7
2500000 -11337.6
2600000 -11336.7
2700000 -11335.6
2800000 -11339.6
2900000 -11334.5
3000000 -11335.3
3100000 -11332.5
3200000 -11332.2
3300000 -11334.4
3400000 -11328.9
3500000 -11337.8
3600000 -11340.1
3700000 -11336.7
3800000 -11339.5
3900000 -11336.5
4000000 -11339.6
4100000 -11336.8
4200000 -11334.8
4300000 -11332.6
4400000 -11334.8
4500000 -11334.2
4600000 -11337.1
4700000 -11337.4
4800000 -11337.3
4900000 -11334.2
5000000 -11333.9
