#NOTE: MSDs should be divided by the total number of molecules (N).
#Time	MSD__water_water	MSD__water_NaCl	MSD__water_COO	MSD__NaCl_NaCl	MSD__NaCl_COO	MSD__COO_COO	
 2000 1927.63 -152.35 -84.2546 29.1523 1.44356 31.1815
 4000 3001.88 -300.396 -171.944 57.7981 3.27706 62.8843
 6000 4012.19 -449.987 -261.809 86.3014 5.47879 94.748
 8000 5008.92 -598.845 -348.269 114.609 8.03605 125.781
 10000 5955.6 -743.553 -431.769 142.508 10.3112 156.731
 12000 6883.13 -886.465 -515.941 170.194 12.8627 187.433
 14000 7849.18 -1033.01 -603.251 198.522 15.4619 218.445
 16000 8812.05 -1182.49 -686.366 226.997 18.0552 248.772
 18000 9741.27 -1328.3 -773.123 255.742 20.5695 279.77
 20000 10754.2 -1481.89 -863.525 285.003 23.4349 311.141
 20000 10955.5 -1493.5 -894.218 286.241 26.5802 310.85
 40000 20914.8 -3023.74 -1762.24 574.271 57.278 605.978
 60000 30778.9 -4541.13 -2493.58 858.106 76.3581 877.171
 80000 40733.2 -6113.22 -3249.9 1158.56 96.8773 1159.84
 100000 50954.1 -7697.95 -4061.47 1463.45 113.546 1456.41
 120000 60437.8 -9150.08 -4779.98 1743.8 117.072 1753.15
 140000 70447.8 -10690.2 -5585.67 2040.73 129.648 2061.22
 160000 80214.7 -12175.5 -6448.21 2327.35 152.437 2375
 180000 90393.4 -13703.7 -7335.83 2622.31 172.307 2688.64
 200000 100818 -15307.1 -8231.86 2930.84 197.339 3009.24
 200000 96822.5 -14714.6 -8288.96 2808.12 249.305 2926.04
 400000 205551 -31080.5 -17978.7 5978.66 375.076 6747.53
 600000 292975 -44823.4 -23710.3 8685.36 157.188 9820.77
 800000 380817 -59386.3 -28442.8 11630.1 -193.104 12693.3
 1e+06 482013 -76899.9 -32924.4 15050.7 -146.705 14490.8
 1.2e+06 577882 -92789 -36902.3 18009.9 -19.5502 15692.3
 1.4e+06 661909 -106680 -40195.3 20558.8 213.1 16262.7
 1.6e+06 757425 -123815 -42700 23768.6 603.764 16309
 1.8e+06 848451 -140067 -45801.1 26945.8 745.133 17248.4
 2e+06 901828 -149021 -48233.8 28852.9 453.021 18871.6
 2e+06 1.11511e+06 -183273 -77825.8 33089.1 8241.69 15048.9
 4e+06 1.0147e+06 -160522 -83114.5 30693.1 5163.57 25938.5
 6e+06 1.30374e+06 -216165 -97127.8 39258.5 12892.9 19806.3
 8e+06 2.50006e+06 -400793 -174823 68691.5 28681.5 12756.9
 1e+07 3.09424e+06 -369683 -223297 46308.2 26441.2 16273
