#NOTE: MSDs should be divided by the number of molecules of species i (N_i).
#NOTE: MSDs have been divided by the factor 6 (or 2, i.e., MSD_x, MSD_y, and MSD_z).
#Time	MSD__water	MSD__NaCl	MSD__COO	
 2000 4646.55 30.2697 20.3415
 4000 8660.95 60.1002 39.958
 6000 12672.9 89.5731 59.2857
 8000 16679.8 118.83 78.341
 10000 20684.1 147.974 97.2222
 12000 24689.7 177.047 115.954
 14000 28688.6 206.007 134.591
 16000 32695.7 235.083 153.405
 18000 36699.2 264.054 172.064
 20000 40708.4 292.984 190.593
 20000 40640.2 295.938 191.361
 40000 80756 582.278 372.436
 60000 120921 871.513 552.724
 80000 161154 1162.95 731.196
 100000 201503 1455.01 907.837
 120000 241978 1747.14 1084.63
 140000 282606 2040.85 1260.34
 160000 323339 2335.16 1432.34
 180000 364236 2626.61 1604.23
 200000 405208 2918.32 1770.53
 200000 402665 2920.08 1746.35
 400000 817165 5794.42 3505.26
 600000 1.23496e+06 8702.22 5241.64
 800000 1.65508e+06 11491.2 7019.19
 1e+06 2.07575e+06 14323.6 8617.28
 1.2e+06 2.49886e+06 17251.9 10145.4
 1.4e+06 2.92296e+06 20234.7 11761.9
 1.6e+06 3.35161e+06 23305.4 13409.9
 1.8e+06 3.7821e+06 26393 15298
 2e+06 4.21484e+06 29376.8 17149.9
 2e+06 4.05306e+06 28999.7 17158.5
 4e+06 8.31316e+06 55796.5 36905
 6e+06 1.26048e+07 84099.4 56382.7
 8e+06 1.67844e+07 115128 64086.9
 1e+07 2.05036e+07 147608 74865.3
