#NOTE: MSDs should be divided by the temperature.
#NOTE: MSDs have been divided by 2 or 10 (i.e., the viscosity computed from all components).
#Time	MSD_xx	MSD_yy	MSD_zz	MSD_xy	MSD_xz	MSD_yz	MSD_off	MSD_all	MSD_bulkvisc
 20 6.49366e+09 6.4818e+09 6.49992e+09 6.52053e+09 6.46863e+09 6.47467e+09 6.48795e+09 6.48948e+09 9.96294e+09
 40 2.16762e+10 2.16335e+10 2.17034e+10 2.17748e+10 2.15741e+10 2.16072e+10 2.1652e+10 2.16596e+10 3.70005e+10
 60 4.07149e+10 4.06203e+10 4.07701e+10 4.09229e+10 4.04922e+10 4.05723e+10 4.06624e+10 4.06782e+10 7.72609e+10
 80 6.13674e+10 6.11936e+10 6.14407e+10 6.17063e+10 6.10169e+10 6.11428e+10 6.12887e+10 6.13068e+10 1.27911e+11
 100 8.27767e+10 8.24861e+10 8.28443e+10 8.32584e+10 8.23365e+10 8.24975e+10 8.26974e+10 8.26994e+10 1.86375e+11
 120 1.04714e+11 1.04254e+11 1.04748e+11 1.05343e+11 1.04252e+11 1.04403e+11 1.04666e+11 1.04628e+11 2.5026e+11
 140 1.27154e+11 1.26481e+11 1.27136e+11 1.27946e+11 1.26741e+11 1.26833e+11 1.27173e+11 1.27074e+11 3.17344e+11
 160 1.50091e+11 1.49177e+11 1.50032e+11 1.51087e+11 1.49811e+11 1.49808e+11 1.50236e+11 1.50048e+11 3.85554e+11
 180 1.73482e+11 1.72311e+11 1.73423e+11 1.74747e+11 1.73439e+11 1.73312e+11 1.73832e+11 1.73528e+11 4.52982e+11
 200 1.97264e+11 1.95814e+11 1.97244e+11 1.98843e+11 1.97546e+11 1.97261e+11 1.97883e+11 1.9744e+11 5.1792e+11
 200 1.9773e+11 1.95785e+11 1.97244e+11 1.98768e+11 1.9751e+11 1.97143e+11 1.97807e+11 1.97452e+11 5.19138e+11
 400 4.48925e+11 4.4413e+11 4.48918e+11 4.51744e+11 4.52067e+11 4.49195e+11 4.51002e+11 4.49531e+11 8.55488e+11
 600 7.11398e+11 7.00911e+11 7.10968e+11 7.16414e+11 7.1788e+11 7.13467e+11 7.15921e+11 7.12656e+11 8.07791e+11
 800 9.7973e+11 9.59008e+11 9.75572e+11 9.82312e+11 9.87376e+11 9.80117e+11 9.83268e+11 9.78536e+11 7.07499e+11
 1000 1.25226e+12 1.21852e+12 1.24406e+12 1.25188e+12 1.25917e+12 1.24589e+12 1.25231e+12 1.2467e+12 5.67155e+11
 1200 1.52623e+12 1.47746e+12 1.51305e+12 1.52405e+12 1.53232e+12 1.50841e+12 1.52159e+12 1.51519e+12 5.68183e+11
 1400 1.80035e+12 1.73506e+12 1.78188e+12 1.79555e+12 1.80635e+12 1.77166e+12 1.79119e+12 1.78368e+12 6.4732e+11
 1600 2.07732e+12 1.99133e+12 2.04865e+12 2.06728e+12 2.07836e+12 2.03318e+12 2.05961e+12 2.0514e+12 6.6631e+11
 1800 2.35433e+12 2.24389e+12 2.31445e+12 2.33652e+12 2.34605e+12 2.29764e+12 2.32674e+12 2.31773e+12 6.58013e+11
 2000 2.63141e+12 2.49692e+12 2.57965e+12 2.60506e+12 2.61109e+12 2.56226e+12 2.5928e+12 2.58341e+12 6.46868e+11
 2000 2.66585e+12 2.44712e+12 2.54326e+12 2.54733e+12 2.57933e+12 2.55967e+12 2.56211e+12 2.5581e+12 6.52901e+11
 4000 5.40005e+12 5.00344e+12 5.14627e+12 5.2255e+12 5.2046e+12 5.24305e+12 5.22438e+12 5.20793e+12 6.53083e+11
 6000 8.20406e+12 7.59807e+12 7.78393e+12 7.87757e+12 7.89534e+12 7.9156e+12 7.89617e+12 7.88251e+12 6.89708e+11
 8000 1.10213e+13 1.01785e+13 1.03695e+13 1.04915e+13 1.05581e+13 1.06082e+13 1.05526e+13 1.05408e+13 7.11618e+11
