#NOTE: MSDs should be divided by the total number of molecules (N).
#Time	MSD__H_Water_H_Water	MSD__H_Water_O_Water	MSD__O_Water_O_Water	
 1000 127.861 -8.05504 0.507457
 2000 218.482 -13.7641 0.867118
 3000 298.071 -18.7781 1.18299
 4000 367.705 -23.1649 1.45936
 5000 431.935 -27.2113 1.71427
 6000 491.276 -30.9497 1.94979
 7000 543.712 -34.2531 2.1579
 8000 592.775 -37.344 2.35262
 9000 634.177 -39.9523 2.51694
 10000 671.842 -42.3251 2.66642
 10000 671.995 -42.3348 2.66703
 20000 905.369 -57.037 3.59325
 30000 994.352 -62.6428 3.94641
 40000 1049.07 -66.09 4.16358
 50000 1094.15 -68.9298 4.34248
 60000 1096.65 -69.0876 4.35242
 70000 1060.19 -66.7908 4.20773
 80000 1078.73 -67.9583 4.28128
 90000 1063.99 -67.03 4.22279
 100000 1029.72 -64.871 4.08678
 100000 1227.59 -77.3364 4.87208
 200000 1152.56 -72.61 4.57433
 300000 1242.05 -78.2476 4.9295
 400000 1344.56 -84.7056 5.33634
 500000 1300.23 -81.9128 5.16039
 600000 1169.65 -73.6866 4.64215
 700000 1148.13 -72.3303 4.55671
 800000 1224.22 -77.1241 4.85871
 900000 1034.8 -65.1908 4.10691
 1e+06 1188.62 -74.8811 4.71737
 1e+06 878.873 -55.3688 3.48822
 2e+06 1351.74 -85.1586 5.36493
 3e+06 978.742 -61.6473 3.88294
 4e+06 1311.98 -82.6206 5.20297
 5e+06 1894.43 -119.303 7.51323
 6e+06 1418.41 -89.2953 5.62158
 7e+06 1045.53 -65.7702 4.13737
 8e+06 1675.68 -105.486 6.64051
 9e+06 1104.55 -69.6028 4.38606
 1e+07 166.095 -10.5522 0.670437
 1e+07 166.095 -10.5522 0.670437
