# Radius 	finiterdf__H_Water_H_Water	rdf__H_Water_H_Water	finiterdf__H_Water_O_Water	rdf__H_Water_O_Water	finiterdf__O_Water_O_Water	rdf__O_Water_O_Water	
0.0102382 0	0	0	0	0	0	
0.0307146 0	0	0	0	0	0	
0.051191 0	0	0	0	0	0	
0.0716674 0	0	0	0	0	0	
0.0921438 0	0	0	0	0	0	
0.11262 0	0	0	0	0	0	
0.133097 0	0	0	0	0	0	
0.153573 0	0	0	0	0	0	
0.174049 0	0	0	0	0	0	
0.194526 0	0	0	0	0	0	
0.215002 0	0	0	0	0	0	
0.235479 0	0	0	0	0	0	
0.255955 0	0	0	0	0	0	
0.276431 0	0	0	0	0	0	
0.296908 0	0	0	0	0	0	
0.317384 0	0	0	0	0	0	
0.337861 0	0	0	0	0	0	
0.358337 0	0	0	0	0	0	
0.378813 0	0	0	0	0	0	
0.39929 0	0	0	0	0	0	
0.419766 0	0	0	0	0	0	
0.440242 0	0	0	0	0	0	
0.460719 0	0	0	0	0	0	
0.481195 0	0	0	0	0	0	
0.501672 0	0	0	0	0	0	
0.522148 0	0	0	0	0	0	
0.542624 0	0	0	0	0	0	
0.563101 0	0	0	0	0	0	
0.583577 0	0	0	0	0	0	
0.604054 0	0	0	0	0	0	
0.62453 0	0	0	0	0	0	
0.645006 0	0	0	0	0	0	
0.665483 0	0	0	0	0	0	
0.685959 0	0	0	0	0	0	
0.706436 0	0	0	0	0	0	
0.726912 0	0	0	0	0	0	
0.747388 0	0	0	0	0	0	
0.767865 0	0	0	0	0	0	
0.788341 0	0	0	0	0	0	
0.808818 0	0	0	0	0	0	
0.829294 0	0	0	0	0	0	
0.84977 0	0	0	0	0	0	
0.870247 0	0	0	0	0	0	
0.890723 0	0	0	0	0	0	
0.9112 0	0	0	0	0	0	
0.931676 0	0	0	0	0	0	
0.952152 0	0	0	0	0	0	
0.972629 0	0	0	0	0	0	
0.993105 0	0	119.604	119.733	0	0	
1.01358 0	0	0	0	0	0	
1.03406 0	0	0	0	0	0	
1.05453 0	0	0	0	0	0	
1.07501 0	0	0	0	0	0	
1.09549 0	0	0	0	0	0	
1.11596 0	0	0	0	0	0	
1.13644 0	0	0	0	0	0	
1.15692 0	0	0	0	0	0	
1.17739 0	0	0	0	0	0	
1.19787 0	0	0	0	0	0	
1.21835 0	0	0	0	0	0	
1.23882 0	0	0	0	0	0	
1.2593 0	0	0	0	0	0	
1.27977 0	0	0	0	0	0	
1.30025 4.36039e-06	4.36142e-06	0	0	0	0	
1.32073 8.45247e-06	8.45432e-06	0	0	0	0	
1.3412 8.19635e-06	8.19799e-06	0	0	0	0	
1.36168 1.98793e-05	1.98828e-05	0	0	0	0	
1.38216 6.17428e-05	6.17526e-05	3.85892e-06	3.86195e-06	0	0	
1.40263 0.000116159	0.000116176	5.99533e-05	5.99991e-05	0	0	
1.42311 0.000189281	0.000189304	0.000374923	0.000375201	0	0	
1.44359 0.000374975	0.00037501	0.00148575	0.00148682	0	0	
1.46406 0.000622503	0.000622548	0.00494563	0.00494908	0	0	
1.48454 0.00086636	0.000866403	0.0148184	0.0148284	0	0	
1.50501 0.0016208	0.00162084	0.0354168	0.0354399	0	0	
1.52549 0.00252477	0.00252477	0.0746596	0.0747065	0	0	
1.54597 0.00376615	0.00376605	0.142799	0.142886	0	0	
1.56644 0.0056422	0.00564191	0.242678	0.24282	0	0	
1.58692 0.00807359	0.00807296	0.380354	0.380572	0	0	
1.6074 0.0118323	0.0118311	0.546122	0.546427	0	0	
1.62787 22.2743	22.2853	0.73763	0.738036	0	0	
1.64835 0.0227476	0.0227582	0.935205	0.935719	0	0	
1.66883 0.0313781	0.0313918	1.12528	1.1259	0	0	
1.6893 0.0418644	0.0418814	1.28892	1.28964	0	0	
1.70978 0.0546238	0.0546445	1.42779	1.42861	0	0	
1.73026 0.0707061	0.0707308	1.52023	1.52113	0	0	
1.75073 0.0905327	0.0905617	1.57636	1.57733	0	0	
1.77121 0.11165	0.111682	1.59516	1.59616	0	0	
1.79168 0.138369	0.138405	1.57187	1.57289	0	0	
1.81216 0.167741	0.16778	1.52375	1.52477	0	0	
1.83264 0.20243	0.202471	1.45002	1.45101	0	0	
1.85311 0.239847	0.239889	1.36886	1.36981	0	0	
1.87359 0.28204	0.282082	1.27835	1.27926	0	0	
1.89407 0.327021	0.327062	1.1831	1.18395	0	0	
1.91454 0.375018	0.375055	1.08352	1.0843	0	0	
1.93502 0.426797	0.426829	0.990108	0.99082	0	0	
1.9555 0.479169	0.479195	0.899542	0.900184	0	0	
1.97597 0.536975	0.536995	0.814402	0.814978	0	0	
1.99645 0.592518	0.592529	0.739014	0.739528	0	0	
2.01692 0.653439	0.653441	0.664381	0.664833	0	0	
2.0374 0.711804	0.711798	0.600507	0.600906	0	0	
2.05788 0.771479	0.771464	0.544204	0.544553	0	0	
2.07835 0.831236	0.831213	0.49249	0.492795	0	0	
2.09883 0.889894	0.889865	0.446794	0.44706	0	0	
2.11931 0.949014	0.948981	0.406104	0.406334	0	0	
2.13978 1.00353	1.0035	0.372871	0.37307	0	0	
2.16026 1.05476	1.05473	0.340816	0.340987	0	0	
2.18074 1.10448	1.10445	0.312699	0.312845	0	0	
2.20121 1.15155	1.15152	0.289036	0.28916	0	0	
2.22169 1.19514	1.19513	0.269693	0.269799	0	0	
2.24217 1.23004	1.23004	0.25	0.250088	0	0	
2.26264 1.262	1.26202	0.236942	0.237015	0	0	
2.28312 1.28951	1.28955	0.22393	0.22399	0	0	
2.30359 1.31577	1.31583	0.214147	0.214195	0	0	
2.32407 1.33347	1.33356	0.205478	0.205515	0	0	
2.34455 1.34642	1.34654	0.19838	0.198406	0	0	
2.36502 1.35286	1.35302	0.194057	0.194073	0	0	
2.3855 1.35263	1.35281	0.190915	0.190921	5.18188e-05	5.17606e-05	
2.40598 1.35124	1.35145	0.18905	0.189048	0.000366772	0.000366337	
2.42645 1.34444	1.34467	0.188966	0.188953	0.0015426	0.00154068	
2.44693 1.32852	1.32879	0.191653	0.19163	0.00623993	0.00623176	
2.46741 1.31151	1.31179	0.195722	0.195689	0.0198877	0.0198604	
2.48788 1.29068	1.29099	0.201724	0.20168	0.0517102	0.051636	
2.50836 1.26201	1.26233	0.20857	0.208513	0.118114	0.117938	
2.52883 1.23366	1.234	0.217272	0.217201	0.234936	0.234573	
2.54931 1.19803	1.19837	0.230018	0.22993	0.41954	0.418874	
2.56979 1.16377	1.16412	0.243336	0.243231	0.681393	0.680297	
2.59026 1.12529	1.12563	0.259355	0.259229	1.01275	1.01112	
2.61074 1.08868	1.08902	0.278019	0.277869	1.38616	1.38397	
2.63122 1.04916	1.04949	0.297343	0.297167	1.78078	1.77807	
2.65169 1.0087	1.00902	0.321146	0.32094	2.16625	2.16314	
2.67217 0.971387	0.971691	0.34641	0.34617	2.50343	2.50012	
2.69265 0.936762	0.937051	0.375144	0.374867	2.76846	2.76517	
2.71312 0.902057	0.902328	0.405041	0.404723	2.94913	2.94608	
2.7336 0.869616	0.869869	0.4362	0.435838	3.04686	3.0442	
2.75408 0.840485	0.840718	0.471894	0.471482	3.06654	3.06437	
