#NOTE: MSDs should be divided by the total number of molecules (N).
#Time	MSD__H_Water_H_Water	MSD__H_Water_O_Water	MSD__O_Water_O_Water	
 1000 129.313 -8.14656 0.513222
 2000 218.798 -13.7839 0.868369
 3000 299.763 -18.8846 1.18971
 4000 373.179 -23.5097 1.48108
 5000 438.731 -27.6395 1.74125
 6000 497.802 -31.3608 1.97569
 7000 550.379 -34.6731 2.18436
 8000 594.855 -37.475 2.36088
 9000 637.297 -40.1489 2.52932
 10000 674.54 -42.4951 2.67713
 10000 682.431 -42.9922 2.70845
 20000 926.388 -58.3611 3.67667
 30000 1027.77 -64.7482 4.07905
 40000 1065.19 -67.1053 4.22754
 50000 1062 -66.9046 4.2149
 60000 1039.48 -65.4861 4.12553
 70000 1040.35 -65.5404 4.12895
 80000 1057.39 -66.6141 4.19659
 90000 1040.98 -65.58 4.13145
 100000 1051.52 -66.2445 4.17331
 100000 973.795 -61.3477 3.86482
 200000 1060.14 -66.7873 4.2075
 300000 1002.05 -63.128 3.97697
 400000 963.333 -60.6886 3.82329
 500000 1128.48 -71.0925 4.47873
 600000 1011.04 -63.6938 4.01262
 700000 1057.34 -66.6111 4.19641
 800000 948.308 -59.7422 3.76368
 900000 1019.17 -64.2063 4.04492
 1e+06 927.06 -58.4037 3.67937
 1e+06 516.326 -32.527 2.0491
 2e+06 983.723 -61.9752 3.90448
 3e+06 1166.37 -73.4874 4.63011
 4e+06 1176.04 -74.1078 4.66989
 5e+06 1186.01 -74.7527 4.7116
 6e+06 994.391 -62.6972 3.95312
 7e+06 737.731 -46.5346 2.93532
 8e+06 505.67 -31.9143 2.01423
 9e+06 254.65 -16.0842 1.01595
 1e+07 267.943 -16.8001 1.05339
 1e+07 267.943 -16.8001 1.05339
