#NOTE: MSDs should be divided by the number of molecules of species i (N_i).
#NOTE: MSDs have been divided by the factor 6 (or 2, i.e., MSD_x, MSD_y, and MSD_z).
#Time	MSD__H_Water	MSD__O_Water	
 1000 714.646 310.705
 2000 1237.42 546.845
 3000 1733.42 775.561
 4000 2218 1002.77
 5000 2695.27 1229.34
 6000 3166.64 1455.38
 7000 3633.2 1681.03
 8000 4095.75 1906.21
 9000 4556 2131.48
 10000 5013.63 2356.43
 10000 5010.82 2354.73
 20000 9525.86 4597.19
 30000 14012.2 6837.95
 40000 18483.5 9073.27
 50000 22970.1 11317.1
 60000 27449.3 13556.8
 70000 31926.5 15795.1
 80000 36394.8 18029.3
 90000 40868 20264.9
 100000 45332 22497.1
 100000 45361.7 22516.8
 200000 90287.3 44968.3
 300000 135336 67487.6
 400000 180539 90099.7
 500000 225467 112559
 600000 270343 134992
 700000 315214 157429
 800000 359789 179727
 900000 404560 202105
 1e+06 449518 224576
 1e+06 450776 225384
 2e+06 891586 445836
 3e+06 1.33364e+06 666857
 4e+06 1.77354e+06 886857
 5e+06 2.21155e+06 1.10574e+06
 6e+06 2.65267e+06 1.32626e+06
 7e+06 3.07688e+06 1.5385e+06
 8e+06 3.54462e+06 1.77209e+06
 9e+06 4.02173e+06 2.01081e+06
 1e+07 4.4605e+06 2.23003e+06
 1e+07 4.4605e+06 2.23003e+06
