#NOTE: MSDs should be divided by the temperature.
#NOTE: MSDs have been divided by 2 or 10 (i.e., the viscosity computed from all components).
#Time	MSD_xx	MSD_yy	MSD_zz	MSD_xy	MSD_xz	MSD_yz	MSD_off	MSD_all	MSD_bulkvisc
 10 1.38198e+09 1.38338e+09 1.38142e+09 1.38942e+09 1.38668e+09 1.38639e+09 1.3875e+09 1.3854e+09 1.61439e+09
 20 4.98073e+09 4.98516e+09 4.9777e+09 5.00953e+09 4.99969e+09 4.99696e+09 5.00206e+09 4.99372e+09 6.20851e+09
 30 9.97752e+09 9.98477e+09 9.96858e+09 1.00387e+10 1.00203e+10 1.00099e+10 1.0023e+10 1.00046e+10 1.33616e+10
 40 1.57087e+10 1.57192e+10 1.5689e+10 1.58108e+10 1.57855e+10 1.57605e+10 1.57856e+10 1.57536e+10 2.27018e+10
 50 2.17091e+10 2.17238e+10 2.16715e+10 2.18581e+10 2.18284e+10 2.17843e+10 2.18236e+10 2.17748e+10 3.39286e+10
 60 2.77283e+10 2.77474e+10 2.7662e+10 2.79261e+10 2.78954e+10 2.78318e+10 2.78844e+10 2.78157e+10 4.67897e+10
 70 3.36461e+10 3.36696e+10 3.35379e+10 3.38906e+10 3.38646e+10 3.3783e+10 3.38461e+10 3.37548e+10 6.10533e+10
 80 3.94505e+10 3.94784e+10 3.92869e+10 3.9738e+10 3.97236e+10 3.96253e+10 3.96957e+10 3.95795e+10 7.65008e+10
 90 4.52149e+10 4.52481e+10 4.49854e+10 4.55441e+10 4.55472e+10 4.54342e+10 4.55085e+10 4.53649e+10 9.29375e+10
 100 5.10607e+10 5.11007e+10 5.07579e+10 5.14329e+10 5.14579e+10 5.13304e+10 5.14071e+10 5.12335e+10 1.10202e+11
 100 5.10886e+10 5.12668e+10 5.08647e+10 5.13303e+10 5.13772e+10 5.14361e+10 5.13812e+10 5.12581e+10 1.10303e+11
 200 1.28864e+11 1.28986e+11 1.27648e+11 1.29874e+11 1.30499e+11 1.30217e+11 1.30197e+11 1.29518e+11 3.0963e+11
 300 2.31936e+11 2.31113e+11 2.28574e+11 2.33802e+11 2.3536e+11 2.34237e+11 2.34467e+11 2.32896e+11 5.34746e+11
 400 3.51761e+11 3.48825e+11 3.45356e+11 3.53853e+11 3.56906e+11 3.54547e+11 3.55102e+11 3.5252e+11 7.8397e+11
 500 4.84031e+11 4.78457e+11 4.74342e+11 4.86507e+11 4.91285e+11 4.87503e+11 4.88431e+11 4.84636e+11 1.05952e+12
 600 6.26687e+11 6.18379e+11 6.1324e+11 6.29429e+11 6.36135e+11 6.30673e+11 6.32079e+11 6.27022e+11 1.35863e+12
 700 7.7769e+11 7.66766e+11 7.60664e+11 7.80905e+11 7.89455e+11 7.8224e+11 7.842e+11 7.77869e+11 1.67535e+12
 800 9.35303e+11 9.2176e+11 9.14452e+11 9.39281e+11 9.50094e+11 9.39918e+11 9.43098e+11 9.35394e+11 2.00451e+12
 900 1.09831e+12 1.08232e+12 1.07428e+12 1.10287e+12 1.11662e+12 1.10285e+12 1.10744e+12 1.09845e+12 2.3438e+12
 1000 1.26589e+12 1.2475e+12 1.23867e+12 1.27105e+12 1.28792e+12 1.27055e+12 1.27651e+12 1.26618e+12 2.69203e+12
 1000 1.27211e+12 1.24175e+12 1.2455e+12 1.26432e+12 1.28796e+12 1.26693e+12 1.27307e+12 1.26509e+12 2.7013e+12
