# Radius 	finiterdf__H_Water_H_Water	rdf__H_Water_H_Water	finiterdf__H_Water_O_Water	rdf__H_Water_O_Water	finiterdf__O_Water_O_Water	rdf__O_Water_O_Water	
0.0102382 0	0	0	0	0	0	
0.0307146 0	0	0	0	0	0	
0.051191 0	0	0	0	0	0	
0.0716674 0	0	0	0	0	0	
0.0921438 0	0	0	0	0	0	
0.11262 0	0	0	0	0	0	
0.133097 0	0	0	0	0	0	
0.153573 0	0	0	0	0	0	
0.174049 0	0	0	0	0	0	
0.194526 0	0	0	0	0	0	
0.215002 0	0	0	0	0	0	
0.235479 0	0	0	0	0	0	
0.255955 0	0	0	0	0	0	
0.276431 0	0	0	0	0	0	
0.296908 0	0	0	0	0	0	
0.317384 0	0	0	0	0	0	
0.337861 0	0	0	0	0	0	
0.358337 0	0	0	0	0	0	
0.378813 0	0	0	0	0	0	
0.39929 0	0	0	0	0	0	
0.419766 0	0	0	0	0	0	
0.440242 0	0	0	0	0	0	
0.460719 0	0	0	0	0	0	
0.481195 0	0	0	0	0	0	
0.501672 0	0	0	0	0	0	
0.522148 0	0	0	0	0	0	
0.542624 0	0	0	0	0	0	
0.563101 0	0	0	0	0	0	
0.583577 0	0	0	0	0	0	
0.604054 0	0	0	0	0	0	
0.62453 0	0	0	0	0	0	
0.645006 0	0	0	0	0	0	
0.665483 0	0	0	0	0	0	
0.685959 0	0	0	0	0	0	
0.706436 0	0	0	0	0	0	
0.726912 0	0	0	0	0	0	
0.747388 0	0	0	0	0	0	
0.767865 0	0	0	0	0	0	
0.788341 0	0	0	0	0	0	
0.808818 0	0	0	0	0	0	
0.829294 0	0	0	0	0	0	
0.84977 0	0	0	0	0	0	
0.870247 0	0	0	0	0	0	
0.890723 0	0	0	0	0	0	
0.9112 0	0	0	0	0	0	
0.931676 0	0	0	0	0	0	
0.952152 0	0	0	0	0	0	
0.972629 0	0	0	0	0	0	
0.993105 0	0	119.604	119.733	0	0	
1.01358 0	0	0	0	0	0	
1.03406 0	0	0	0	0	0	
1.05453 0	0	0	0	0	0	
1.07501 0	0	0	0	0	0	
1.09549 0	0	0	0	0	0	
1.11596 0	0	0	0	0	0	
1.13644 0	0	0	0	0	0	
1.15692 0	0	0	0	0	0	
1.17739 0	0	0	0	0	0	
1.19787 0	0	0	0	0	0	
1.21835 0	0	0	0	0	0	
1.23882 0	0	0	0	0	0	
1.2593 0	0	0	0	0	0	
1.27977 0	0	0	0	0	0	
1.30025 0	0	0	0	0	0	
1.32073 1.26787e-05	1.26815e-05	0	0	0	0	
1.3412 0	0	0	0	0	0	
1.36168 2.38551e-05	2.38594e-05	3.97585e-06	3.97906e-06	0	0	
1.38216 7.33196e-05	7.33312e-05	7.71785e-06	7.72391e-06	0	0	
1.40263 8.24357e-05	8.24472e-05	4.4965e-05	4.49993e-05	0	0	
1.42311 0.000196561	0.000196584	0.000400403	0.0004007	0	0	
1.44359 0.000350212	0.000350246	0.00150697	0.00150806	0	0	
1.46406 0.000570914	0.000570955	0.00531019	0.0053139	0	0	
1.48454 0.000906501	0.000906545	0.014504	0.0145138	0	0	
1.50501 0.00143529	0.00143532	0.0351629	0.0351858	0	0	
1.52549 0.00249309	0.00249309	0.0747229	0.0747699	0	0	
1.54597 0.00355332	0.00355323	0.142083	0.14217	0	0	
1.56644 0.00539584	0.00539557	0.242639	0.242781	0	0	
1.58692 0.00802382	0.0080232	0.38017	0.380387	0	0	
1.6074 0.0115641	0.0115629	0.54992	0.550227	0	0	
1.62787 22.2736	22.2846	0.738637	0.739044	0	0	
1.64835 0.0232713	0.0232821	0.934736	0.935249	0	0	
1.66883 0.0311901	0.0312037	1.12227	1.12289	0	0	
1.6893 0.0416551	0.0416721	1.28953	1.29026	0	0	
1.70978 0.0545608	0.0545814	1.42279	1.42361	0	0	
1.73026 0.0712257	0.0712505	1.52222	1.52312	0	0	
1.75073 0.0900325	0.0900612	1.57319	1.57415	0	0	
1.77121 0.112028	0.11206	1.58857	1.58957	0	0	
1.79168 0.137685	0.137721	1.57259	1.57361	0	0	
1.81216 0.16911	0.169149	1.52344	1.52446	0	0	
1.83264 0.202623	0.202664	1.45486	1.45585	0	0	
1.85311 0.240886	0.240928	1.37054	1.3715	0	0	
1.87359 0.282509	0.282551	1.27762	1.27852	0	0	
1.89407 0.32691	0.326951	1.1823	1.18314	0	0	
1.91454 0.372831	0.372868	1.08505	1.08583	0	0	
1.93502 0.426998	0.42703	0.988191	0.9889	0	0	
1.9555 0.478993	0.479019	0.89912	0.899761	0	0	
1.97597 0.538023	0.538042	0.814028	0.814603	0	0	
1.99645 0.594643	0.594654	0.73496	0.735471	0	0	
2.01692 0.654888	0.654891	0.666939	0.667393	0	0	
2.0374 0.71317	0.713164	0.600912	0.601311	0	0	
2.05788 0.771671	0.771656	0.543011	0.54336	0	0	
2.07835 0.831254	0.831232	0.493705	0.494011	0	0	
2.09883 0.890275	0.890247	0.447514	0.44778	0	0	
2.11931 0.948609	0.948576	0.406836	0.407066	0	0	
2.13978 1.00145	1.00141	0.370921	0.371119	0	0	
2.16026 1.05392	1.05388	0.340371	0.340542	0	0	
2.18074 1.10254	1.10251	0.313055	0.313202	0	0	
2.20121 1.14999	1.14996	0.289255	0.289379	0	0	
2.22169 1.1923	1.19229	0.269978	0.270084	0	0	
2.24217 1.22844	1.22844	0.252218	0.252307	0	0	
2.26264 1.26438	1.2644	0.237505	0.237579	0	0	
2.28312 1.28995	1.28999	0.224351	0.224411	0	0	
2.30359 1.31458	1.31465	0.214054	0.214102	0	0	
2.32407 1.33312	1.33321	0.205887	0.205924	0	0	
2.34455 1.34481	1.34493	0.197945	0.197971	0	0	
2.36502 1.35226	1.35241	0.194313	0.194329	5.272e-06	5.26639e-06	
2.3855 1.35654	1.35672	0.191119	0.191126	3.62731e-05	3.62324e-05	
2.40598 1.35086	1.35107	0.189818	0.189816	0.000331113	0.000330721	
2.42645 1.34207	1.34231	0.189707	0.189695	0.00170287	0.00170075	
2.44693 1.3286	1.32887	0.191648	0.191625	0.00641231	0.00640391	
2.46741 1.31034	1.31063	0.195966	0.195933	0.0195825	0.0195556	
2.48788 1.28947	1.28977	0.201255	0.20121	0.0514482	0.0513743	
2.50836 1.26104	1.26136	0.208401	0.208344	0.11751	0.117334	
2.52883 1.23181	1.23214	0.217881	0.217809	0.235771	0.235406	
2.54931 1.19944	1.19978	0.230206	0.230118	0.418868	0.418204	
2.56979 1.16132	1.16167	0.243085	0.242979	0.683782	0.682682	
2.59026 1.12719	1.12754	0.260074	0.259947	1.01442	1.01279	
2.61074 1.089	1.08934	0.277918	0.277768	1.38574	1.38355	
2.63122 1.04884	1.04917	0.297731	0.297555	1.78403	1.78131	
2.65169 1.01071	1.01102	0.321658	0.321451	2.15543	2.15234	
2.67217 0.970997	0.9713	0.347896	0.347656	2.50107	2.49776	
2.69265 0.935857	0.936145	0.374954	0.374677	2.76751	2.76422	
2.71312 0.903213	0.903485	0.404781	0.404463	2.94911	2.94605	
2.7336 0.869516	0.869768	0.437129	0.436766	3.04579	3.04313	
2.75408 0.840969	0.841202	0.472243	0.471831	3.06239	3.06022	
