# Time-averaged data for fix TEAve
# TimeStep v_TotEn
100000 -7390.54
200000 -7398.08
300000 -7400.71
400000 -7395.66
500000 -7397.25
600000 -7392.3
700000 -7393.05
800000 -7396.58
900000 -7403.37
1000000 -7390.78
1100000 -7400.78
1200000 -7396.32
1300000 -7395.96
1400000 -7395.29
1500000 -7394.87
1600000 -7402.84
1700000 -7389.65
1800000 -7393.89
1900000 -7398.71
2000000 -7390.24
2100000 -7391.2
2200000 -7407.06
2300000 -7389.64
2400000 -7397.38
2500000 -7401.78
2600000 -7393.6
2700000 -7398.28
2800000 -7388.81
2900000 -7399.85
3000000 -7394.47
3100000 -7398.71
3200000 -7391.56
3300000 -7398.16
3400000 -7395.68
3500000 -7397.69
3600000 -7391.64
3700000 -7393.31
3800000 -7404.63
3900000 -7389.72
4000000 -7394.83
4100000 -7400.13
4200000 -7391.83
4300000 -7397.97
4400000 -7392.24
4500000 -7397.43
4600000 -7391.72
4700000 -7397.59
4800000 -7394.21
4900000 -7394.14
5000000 -7401.35
5100000 -7407.7
5200000 -7397.16
5300000 -7391.64
5400000 -7400.85
5500000 -7392.66
5600000 -7390.66
5700000 -7397.87
5800000 -7398.85
5900000 -7397.71
6000000 -7398.14
6100000 -7399.1
6200000 -7388.07
6300000 -7401.08
6400000 -7388.72
6500000 -7393.43
6600000 -7390.46
6700000 -7394.66
6800000 -7397.18
6900000 -7395.72
7000000 -7393.91
7100000 -7398.38
7200000 -7398.54
7300000 -7397.08
7400000 -7401.03
7500000 -7405.59
7600000 -7397.59
7700000 -7396.07
7800000 -7399.67
7900000 -7389.22
8000000 -7401.38
8100000 -7398.82
8200000 -7392.76
8300000 -7398.35
8400000 -7385.59
8500000 -7393.42
8600000 -7390.55
8700000 -7393.69
8800000 -7394.07
8900000 -7389.87
9000000 -7389.54
9100000 -7399.66
9200000 -7397.43
9300000 -7395.18
9400000 -7392.47
9500000 -7399.84
9600000 -7390.82
9700000 -7398.18
9800000 -7395.53
9900000 -7393.54
10000000 -7395.62
