#NOTE: MSDs should be divided by the total number of molecules (N).
#Time	MSD__O_Water_O_Water	MSD__O_Water_H_Water	MSD__H_Water_H_Water	
 1000 0.511374 -8.11723 128.848
 2000 0.85431 -13.5608 215.255
 3000 1.16035 -18.4186 292.365
 4000 1.43371 -22.7579 361.244
 5000 1.67846 -26.6429 422.912
 6000 1.90325 -30.211 479.551
 7000 2.09854 -33.3109 528.755
 8000 2.27181 -36.0613 572.414
 9000 2.43299 -38.6198 613.026
 10000 2.57639 -40.896 649.157
 10000 2.56375 -40.6953 645.972
 20000 3.41663 -54.2334 860.866
 30000 3.85126 -61.1325 970.379
 40000 4.13487 -65.6343 1041.84
 50000 4.11791 -65.3652 1037.56
 60000 4.15671 -65.9809 1047.34
 70000 4.28208 -67.971 1078.93
 80000 4.09593 -65.0162 1032.03
 90000 4.01796 -63.7786 1012.38
 100000 4.07339 -64.6584 1026.35
 100000 4.13999 -65.7156 1043.13
 200000 4.13448 -65.6282 1041.74
 300000 4.57981 -72.6971 1153.95
 400000 4.70523 -74.6881 1185.55
 500000 4.12817 -65.5283 1040.16
 600000 4.28008 -67.9395 1078.43
 700000 3.90429 -61.9745 983.75
 800000 4.25709 -67.5747 1072.65
 900000 4.27728 -67.8951 1077.73
 1e+06 4.23042 -67.1515 1065.93
 1e+06 3.42818 -54.4182 863.823
 2e+06 4.43234 -70.3599 1116.91
 3e+06 3.40104 -53.9872 856.981
 4e+06 2.42663 -38.5254 611.634
 5e+06 2.80895 -44.6132 708.573
 6e+06 5.10715 -81.1048 1288
 7e+06 3.19258 -50.6975 805.07
 8e+06 2.33276 -37.039 588.104
 9e+06 4.316 -68.5878 1089.97
 1e+07 2.62119 -41.7544 665.132
 1e+07 2.62119 -41.7544 665.132
