# Radius 	finiterdf__O_Water_O_Water	rdf__O_Water_O_Water	finiterdf__O_Water_H_Water	rdf__O_Water_H_Water	finiterdf__H_Water_H_Water	rdf__H_Water_H_Water	
0.0102382 0	0	0	0	0	0	
0.0307146 0	0	0	0	0	0	
0.051191 0	0	0	0	0	0	
0.0716674 0	0	0	0	0	0	
0.0921438 0	0	0	0	0	0	
0.11262 0	0	0	0	0	0	
0.133097 0	0	0	0	0	0	
0.153573 0	0	0	0	0	0	
0.174049 0	0	0	0	0	0	
0.194526 0	0	0	0	0	0	
0.215002 0	0	0	0	0	0	
0.235479 0	0	0	0	0	0	
0.255955 0	0	0	0	0	0	
0.276431 0	0	0	0	0	0	
0.296908 0	0	0	0	0	0	
0.317384 0	0	0	0	0	0	
0.337861 0	0	0	0	0	0	
0.358337 0	0	0	0	0	0	
0.378813 0	0	0	0	0	0	
0.39929 0	0	0	0	0	0	
0.419766 0	0	0	0	0	0	
0.440242 0	0	0	0	0	0	
0.460719 0	0	0	0	0	0	
0.481195 0	0	0	0	0	0	
0.501672 0	0	0	0	0	0	
0.522148 0	0	0	0	0	0	
0.542624 0	0	0	0	0	0	
0.563101 0	0	0	0	0	0	
0.583577 0	0	0	0	0	0	
0.604054 0	0	0	0	0	0	
0.62453 0	0	0	0	0	0	
0.645006 0	0	0	0	0	0	
0.665483 0	0	0	0	0	0	
0.685959 0	0	0	0	0	0	
0.706436 0	0	0	0	0	0	
0.726912 0	0	0	0	0	0	
0.747388 0	0	0	0	0	0	
0.767865 0	0	0	0	0	0	
0.788341 0	0	0	0	0	0	
0.808818 0	0	0	0	0	0	
0.829294 0	0	0	0	0	0	
0.84977 0	0	0	0	0	0	
0.870247 0	0	0	0	0	0	
0.890723 0	0	0	0	0	0	
0.9112 0	0	0	0	0	0	
0.931676 0	0	0	0	0	0	
0.952152 0	0	0	0	0	0	
0.972629 0	0	0	0	0	0	
0.993105 0	0	119.604	119.733	0	0	
1.01358 0	0	0	0	0	0	
1.03406 0	0	0	0	0	0	
1.05453 0	0	0	0	0	0	
1.07501 0	0	0	0	0	0	
1.09549 0	0	0	0	0	0	
1.11596 0	0	0	0	0	0	
1.13644 0	0	0	0	0	0	
1.15692 0	0	0	0	0	0	
1.17739 0	0	0	0	0	0	
1.19787 0	0	0	0	0	0	
1.21835 0	0	0	0	0	0	
1.23882 0	0	0	0	0	0	
1.2593 0	0	0	0	0	0	
1.27977 0	0	0	0	0	0	
1.30025 0	0	0	0	0	0	
1.32073 0	0	0	0	8.45247e-06	8.45432e-06	
1.3412 0	0	0	0	1.22945e-05	1.2297e-05	
1.36168 0	0	0	0	1.19276e-05	1.19297e-05	
1.38216 0	0	1.92946e-05	1.93098e-05	5.78839e-05	5.78931e-05	
1.40263 0	0	7.86887e-05	7.87488e-05	0.000119907	0.000119923	
1.42311 0	0	0.000349443	0.000349702	0.000222042	0.000222068	
1.44359 0	0	0.00154235	0.00154346	0.000307762	0.000307792	
1.46406 0	0	0.00528267	0.00528636	0.000605306	0.00060535	
1.48454 0	0	0.0144973	0.0145071	0.000933261	0.000933307	
1.50501 0	0	0.0352573	0.0352803	0.00145482	0.00145485	
1.52549 0	0	0.0751918	0.0752391	0.00244557	0.00244557	
1.54597 0	0	0.142703	0.14279	0.0035965	0.00359641	
1.56644 0	0	0.243867	0.244011	0.00555207	0.00555178	
1.58692 0	0	0.379582	0.379798	0.00822581	0.00822517	
1.6074 0	0	0.548391	0.548697	0.0117924	0.0117912	
1.62787 0	0	0.738089	0.738496	22.274	22.285	
1.64835 0	0	0.936312	0.936827	0.0229674	0.0229781	
1.66883 0	0	1.12669	1.12731	0.0316983	0.0317122	
1.6893 0	0	1.2886	1.28932	0.041327	0.0413439	
1.70978 0	0	1.4252	1.42602	0.0546137	0.0546344	
1.73026 0	0	1.51931	1.52021	0.0702875	0.070312	
1.75073 0	0	1.57456	1.57552	0.0890824	0.0891109	
1.77121 0	0	1.59056	1.59156	0.112352	0.112385	
1.79168 0	0	1.57283	1.57385	0.138519	0.138555	
1.81216 0	0	1.52587	1.52689	0.168884	0.168923	
1.83264 0	0	1.45152	1.45252	0.202566	0.202607	
1.85311 0	0	1.37488	1.37584	0.239692	0.239735	
1.87359 0	0	1.27978	1.28069	0.28211	0.282152	
1.89407 0	0	1.18149	1.18234	0.3251	0.32514	
1.91454 0	0	1.08488	1.08566	0.374587	0.374624	
1.93502 0	0	0.991087	0.991799	0.425362	0.425394	
1.9555 0	0	0.899174	0.899816	0.480352	0.480379	
1.97597 0	0	0.812161	0.812735	0.537281	0.5373	
1.99645 0	0	0.737185	0.737698	0.594971	0.594982	
2.01692 0	0	0.666135	0.666589	0.654317	0.65432	
2.0374 0	0	0.600999	0.601398	0.713449	0.713443	
2.05788 0	0	0.542877	0.543226	0.772981	0.772967	
2.07835 0	0	0.492888	0.493193	0.831625	0.831602	
2.09883 0	0	0.44541	0.445675	0.891428	0.8914	
2.11931 0	0	0.406516	0.406746	0.946137	0.946104	
2.13978 0	0	0.37209	0.372289	1.00254	1.0025	
2.16026 0	0	0.339932	0.340102	1.05449	1.05446	
2.18074 0	0	0.313051	0.313197	1.10521	1.10518	
2.20121 0	0	0.289422	0.289547	1.14984	1.14981	
2.22169 0	0	0.269653	0.269759	1.194	1.19399	
2.24217 0	0	0.252624	0.252714	1.23067	1.23067	
2.26264 0	0	0.236344	0.236418	1.26533	1.26535	
2.28312 0	0	0.224812	0.224872	1.29112	1.29116	
2.30359 0	0	0.213644	0.213692	1.31601	1.31608	
2.32407 0	0	0.204815	0.204851	1.33483	1.33492	
2.34455 0	0	0.198352	0.198378	1.34677	1.3469	
2.36502 2.1088e-05	2.10656e-05	0.192794	0.19281	1.35101	1.35116	
2.3855 4.66369e-05	4.65845e-05	0.190966	0.190973	1.35627	1.35646	
2.40598 0.000331113	0.000330721	0.188295	0.188292	1.34992	1.35013	
2.42645 0.00163275	0.00163072	0.189658	0.189646	1.3434	1.34364	
2.44693 0.00644678	0.00643834	0.191811	0.191789	1.32987	1.33013	
2.46741 0.0199167	0.0198894	0.195184	0.195151	1.31194	1.31222	
2.48788 0.0507383	0.0506655	0.200889	0.200845	1.2891	1.28941	
2.50836 0.118733	0.118555	0.208666	0.208609	1.26535	1.26568	
2.52883 0.235208	0.234844	0.218515	0.218443	1.23213	1.23247	
2.54931 0.422657	0.421987	0.229436	0.229349	1.19736	1.1977	
2.56979 0.681393	0.680297	0.24252	0.242415	1.1641	1.16445	
2.59026 1.01006	1.00843	0.259387	0.259261	1.12599	1.12633	
2.61074 1.38739	1.38519	0.277184	0.277035	1.0901	1.09044	
2.63122 1.78592	1.7832	0.297711	0.297535	1.04672	1.04705	
2.65169 2.1674	2.16429	0.32136	0.321154	1.01006	1.01038	
2.67217 2.50288	2.49957	0.34692	0.34668	0.970799	0.971103	
2.69265 2.76301	2.75973	0.374974	0.374697	0.935712	0.936	
2.71312 2.94818	2.94513	0.40396	0.403643	0.90027	0.900541	
2.7336 3.04676	3.0441	0.436871	0.436508	0.869586	0.869838	
2.75408 3.06121	3.05904	0.472943	0.47253	0.839414	0.839648	
