#NOTE: MSDs should be divided by the number of molecules of species i (N_i).
#NOTE: MSDs have been divided by the factor 6 (or 2, i.e., MSD_x, MSD_y, and MSD_z).
#Time	MSD__O_Water	MSD__H_Water	
 1000 310.766 714.863
 2000 547.032 1238.03
 3000 776.32 1735.34
 4000 1003.79 2220.79
 5000 1230.47 2698.25
 6000 1456.47 3169.49
 7000 1682.15 3636.27
 8000 1907.4 4099.16
 9000 2132.44 4559.11
 10000 2357.31 5016.71
 10000 2358.11 5017.58
 20000 4604.66 9538.68
 30000 6848.13 14028.8
 40000 9090.6 18514.1
 50000 11333.7 23000.4
 60000 13575.4 27483.7
 70000 15818 31968
 80000 18059.7 36451.4
 90000 20304.2 40940.3
 100000 22547.4 45427.6
 100000 22545.4 45417.6
 200000 44974.6 90273.5
 300000 67380.9 135094
 400000 89761.9 179856
 500000 112133 224604
 600000 134525 269394
 700000 156897 314128
 800000 179229 358787
 900000 201591 403517
 1e+06 223975 448286
 1e+06 223202 446694
 2e+06 447284 894948
 3e+06 672309 1.34502e+06
 4e+06 897334 1.79508e+06
 5e+06 1.12332e+06 2.24705e+06
 6e+06 1.34828e+06 2.69706e+06
 7e+06 1.57329e+06 3.14708e+06
 8e+06 1.80178e+06 3.60405e+06
 9e+06 2.02918e+06 4.05889e+06
 1e+07 2.25647e+06 4.5134e+06
 1e+07 2.29525e+06 4.59095e+06
 2e+07 4.572e+06 9.14559e+06
 3e+07 6.81296e+06 1.36282e+07
 4e+07 9.10592e+06 1.82139e+07
 5e+07 1.1293e+07 2.25875e+07
 6e+07 1.37008e+07 2.74038e+07
