#NOTE: MSDs should be divided by the number of molecules of species i (N_i).
#NOTE: MSDs have been divided by the factor 6 (or 2, i.e., MSD_x, MSD_y, and MSD_z).
#Time	MSD__H_Water	MSD__O_Water	
 1000 714.745 310.715
 2000 1238.2 547.156
 3000 1735.34 776.361
 4000 2220.5 1003.68
 5000 2697.43 1230.09
 6000 3167.74 1455.67
 7000 3633.52 1680.84
 8000 4095.78 1905.78
 9000 4555.55 2130.78
 10000 5013.19 2355.69
 10000 5012.03 2355.33
 20000 9530.5 4600.99
 30000 14026 6847.48
 40000 18512.2 9092.37
 50000 22990.2 11332
 60000 27462.7 13569.6
 70000 31940.3 15809.5
 80000 36415.1 18046.9
 90000 40886.2 20282.4
 100000 45355.1 22517.2
 100000 45400.8 22549.5
 200000 90121.1 44910.2
 300000 134882 67289.2
 400000 179848 89779.3
 500000 224910 112318
 600000 270041 134874
 700000 315433 157558
 800000 361024 180353
 900000 406666 203179
 1e+06 451959 225831
 1e+06 451714 225746
 2e+06 898560 449244
 3e+06 1.34534e+06 672582
 4e+06 1.79611e+06 897798
 5e+06 2.25676e+06 1.12796e+06
 6e+06 2.74558e+06 1.37228e+06
 7e+06 3.21914e+06 1.60906e+06
 8e+06 3.66276e+06 1.83068e+06
 9e+06 4.09504e+06 2.04682e+06
 1e+07 4.51652e+06 2.25755e+06
 1e+07 4.51652e+06 2.25755e+06
