#NOTE: MSDs should be divided by the temperature.
#NOTE: MSDs have been divided by 2 or 10 (i.e., the viscosity computed from all components).
#Time	MSD_xx	MSD_yy	MSD_zz	MSD_xy	MSD_xz	MSD_yz	MSD_off	MSD_all	MSD_bulkvisc
 10 1.39383e+09 1.38526e+09 1.38225e+09 1.39161e+09 1.38668e+09 1.38593e+09 1.38807e+09 1.38769e+09 1.60224e+09
 20 5.02687e+09 4.99245e+09 4.98059e+09 5.01621e+09 4.99839e+09 4.99519e+09 5.00327e+09 5.00195e+09 6.15995e+09
 30 1.00781e+10 1.00005e+10 9.9748e+09 1.0048e+10 1.00136e+10 1.00072e+10 1.00229e+10 1.00209e+10 1.32524e+10
 40 1.58827e+10 1.57448e+10 1.5702e+10 1.58166e+10 1.5765e+10 1.57584e+10 1.578e+10 1.57786e+10 2.25076e+10
 50 2.19736e+10 2.17601e+10 2.16975e+10 2.18514e+10 2.17831e+10 2.17848e+10 2.18064e+10 2.1808e+10 3.36256e+10
 60 2.80968e+10 2.77952e+10 2.77107e+10 2.78975e+10 2.78119e+10 2.78365e+10 2.78486e+10 2.78562e+10 4.63539e+10
 70 3.41275e+10 3.37287e+10 3.36207e+10 3.38346e+10 3.37276e+10 3.37929e+10 3.3785e+10 3.38013e+10 6.04602e+10
 80 4.00506e+10 3.95479e+10 3.94158e+10 3.96529e+10 3.95179e+10 3.96421e+10 3.96043e+10 3.96312e+10 7.57261e+10
 90 4.59408e+10 4.53267e+10 4.51716e+10 4.54328e+10 4.52599e+10 4.54597e+10 4.53841e+10 4.54224e+10 9.19579e+10
 100 5.19216e+10 5.11848e+10 5.10095e+10 5.13013e+10 5.10776e+10 5.13681e+10 5.1249e+10 5.12982e+10 1.08997e+11
 100 5.20788e+10 5.11036e+10 5.1129e+10 5.138e+10 5.0971e+10 5.12626e+10 5.12045e+10 5.12976e+10 1.09002e+11
 200 1.32036e+11 1.2895e+11 1.28894e+11 1.29957e+11 1.28411e+11 1.29943e+11 1.29437e+11 1.29646e+11 3.05416e+11
 300 2.3791e+11 2.31723e+11 2.31386e+11 2.33766e+11 2.30535e+11 2.34137e+11 2.32813e+11 2.33157e+11 5.25961e+11
 400 3.60118e+11 3.49776e+11 3.49555e+11 3.53426e+11 3.48335e+11 3.55037e+11 3.52266e+11 3.52619e+11 7.69191e+11
 500 4.95179e+11 4.8001e+11 4.79885e+11 4.85565e+11 4.78495e+11 4.88874e+11 4.84312e+11 4.84597e+11 1.03834e+12
 600 6.4098e+11 6.20565e+11 6.20296e+11 6.27825e+11 6.19182e+11 6.3298e+11 6.26662e+11 6.26909e+11 1.33239e+12
 700 7.9518e+11 7.69728e+11 7.68975e+11 7.78971e+11 7.68543e+11 7.85292e+11 7.77602e+11 7.77746e+11 1.64658e+12
 800 9.56466e+11 9.25602e+11 9.24501e+11 9.37022e+11 9.25074e+11 9.4462e+11 9.35572e+11 9.35552e+11 1.97457e+12
 900 1.12392e+12 1.08739e+12 1.08544e+12 1.10065e+12 1.08754e+12 1.10931e+12 1.09917e+12 1.09907e+12 2.31307e+12
 1000 1.29602e+12 1.25389e+12 1.25079e+12 1.26915e+12 1.25509e+12 1.27903e+12 1.26776e+12 1.26741e+12 2.66085e+12
 1000 1.29708e+12 1.25341e+12 1.25951e+12 1.26456e+12 1.25429e+12 1.27552e+12 1.26479e+12 1.26687e+12 2.67251e+12
 2000 3.14742e+12 3.06733e+12 3.0459e+12 3.07809e+12 3.07643e+12 3.10716e+12 3.08723e+12 3.08709e+12 6.46183e+12
 3000 5.08801e+12 4.95946e+12 4.89638e+12 4.93553e+12 4.98422e+12 5.0242e+12 4.98132e+12 4.9813e+12 1.04663e+13
 4000 7.11994e+12 6.87936e+12 6.79595e+12 6.78104e+12 6.89235e+12 6.98026e+12 6.88455e+12 6.90343e+12 1.45339e+13
 5000 9.15835e+12 8.8031e+12 8.66232e+12 8.59274e+12 8.79093e+12 8.9353e+12 8.77299e+12 8.81363e+12 1.8678e+13
 6000 1.11922e+13 1.0706e+13 1.0474e+13 1.03899e+13 1.06733e+13 1.09052e+13 1.06561e+13 1.071e+13 2.28789e+13
 7000 1.32303e+13 1.26223e+13 1.22933e+13 1.21787e+13 1.2598e+13 1.28732e+13 1.255e+13 1.26161e+13 2.7067e+13
 8000 1.53108e+13 1.45555e+13 1.40979e+13 1.39607e+13 1.45715e+13 1.48395e+13 1.44572e+13 1.45362e+13 3.12505e+13
 9000 1.7441e+13 1.65174e+13 1.59091e+13 1.5761e+13 1.66022e+13 1.67794e+13 1.63809e+13 1.64775e+13 3.53775e+13
 10000 1.95699e+13 1.84373e+13 1.77082e+13 1.76072e+13 1.86709e+13 1.86895e+13 1.83226e+13 1.84222e+13 3.94204e+13
 10000 1.9168e+13 1.75434e+13 1.76588e+13 1.82333e+13 1.86643e+13 1.81739e+13 1.83571e+13 1.82637e+13 3.82218e+13
 20000 4.00127e+13 3.6534e+13 3.72696e+13 3.61874e+13 3.94988e+13 3.72834e+13 3.76566e+13 3.77694e+13 7.58004e+13
 30000 6.16459e+13 5.4993e+13 5.76707e+13 5.39816e+13 5.90794e+13 5.80358e+13 5.70323e+13 5.74607e+13 1.13844e+14
 40000 8.48681e+13 7.13742e+13 7.84146e+13 7.31508e+13 7.81247e+13 8.09833e+13 7.74196e+13 7.77394e+13 1.52125e+14
 50000 1.10971e+14 8.86541e+13 1.01941e+14 9.39422e+13 1.0024e+14 1.04692e+14 9.96248e+13 9.99838e+13 1.90682e+14
 60000 1.3843e+14 1.04215e+14 1.25099e+14 1.1147e+14 1.23072e+14 1.28069e+14 1.2087e+14 1.21555e+14 2.31479e+14
 70000 1.67507e+14 1.19772e+14 1.48952e+14 1.29173e+14 1.45674e+14 1.48954e+14 1.41267e+14 1.42924e+14 2.67353e+14
 80000 1.97715e+14 1.36539e+14 1.73028e+14 1.4697e+14 1.66683e+14 1.7123e+14 1.61628e+14 1.64614e+14 3.02478e+14
 90000 2.30773e+14 1.54582e+14 1.98156e+14 1.66711e+14 1.87566e+14 1.94073e+14 1.82783e+14 1.87472e+14 3.36803e+14
 100000 2.64156e+14 1.71313e+14 2.2372e+14 1.85666e+14 2.07691e+14 2.1606e+14 2.03139e+14 2.09775e+14 3.68868e+14
 100000 2.70135e+14 1.86025e+14 2.23883e+14 1.91965e+14 1.95667e+14 2.27564e+14 2.05065e+14 2.13712e+14 3.88091e+14
