#NOTE: MSDs should be divided by the total number of molecules (N).
#Time	MSD__water_water	MSD__water_NaCl	MSD__NaCl_NaCl	
 2000 3755.54 -214.863 42.0812
 4000 5662.31 -417.315 81.7063
 6000 6986.57 -612.779 120.712
 8000 8134.87 -808.992 159.724
 10000 9201.99 -1004.26 198.227
 12000 10250.3 -1200.11 237.01
 14000 11301.5 -1395.73 275.853
 16000 12312.4 -1590.24 314.518
 18000 13342.7 -1786.82 353.448
 20000 14385.1 -1983.04 392.006
 20000 14348.8 -2000.44 399.397
 40000 24211 -3896.9 779.12
 60000 34022.9 -5770.61 1152.28
 80000 43419.9 -7580.44 1518.12
 100000 52361.7 -9331.68 1871.97
 120000 61880.3 -11139.3 2228.54
 140000 70749.7 -12865.5 2581.57
 160000 79083.5 -14515.6 2920.22
 180000 88125 -16236.4 3261.41
 200000 96857.7 -17920.8 3598.32
 200000 97517.5 -17945.2 3569.55
 400000 184903 -34687.4 6951.61
 600000 282156 -53347.9 10684.2
 800000 376940 -71570.6 14355.8
 1e+06 478692 -91082.3 18286.4
 1.2e+06 591352 -112076 22408.1
 1.4e+06 695818 -131866 26347.5
 1.6e+06 803511 -152382 30459.9
 1.8e+06 900741 -170855 34206.1
 2e+06 997404 -189008 37841.6
 2e+06 882681 -167333 33598.2
 4e+06 1.63787e+06 -306836 61972.3
 6e+06 2.38824e+06 -453517 93016.4
 8e+06 2.77107e+06 -540530 114300
 1e+07 3.12924e+06 -620694 133899
 1.2e+07 3.61171e+06 -722017 156873
 1.4e+07 4.26907e+06 -838478 179686
 1.6e+07 4.85882e+06 -942436 199192
 1.8e+07 5.53836e+06 -1.06128e+06 219216
 2e+07 5.67581e+06 -1.08371e+06 221425
 2e+07 4.59497e+06 -675476 104001
 4e+07 2.31187e+06 -406326 86327.8
