#NOTE: MSDs should be divided by the temperature.
#NOTE: MSDs have been divided by 2 or 10 (i.e., the viscosity computed from all components).
#Time	MSD_xx	MSD_yy	MSD_zz	MSD_xy	MSD_xz	MSD_yz	MSD_off	MSD_all	MSD_bulkvisc
 20 5.7446e+09 5.7515e+09 5.75762e+09 5.74511e+09 5.76224e+09 5.7628e+09 5.75671e+09 5.75452e+09 8.9067e+09
 40 1.95213e+10 1.9542e+10 1.95685e+10 1.95265e+10 1.959e+10 1.95913e+10 1.95693e+10 1.95591e+10 3.34076e+10
 60 3.72362e+10 3.72636e+10 3.73258e+10 3.7252e+10 3.73822e+10 3.73777e+10 3.73373e+10 3.73125e+10 7.02228e+10
 80 5.68807e+10 5.69042e+10 5.70099e+10 5.69118e+10 5.712e+10 5.7099e+10 5.70436e+10 5.69988e+10 1.16579e+11
 100 7.76734e+10 7.76853e+10 7.78393e+10 7.77263e+10 7.80147e+10 7.79669e+10 7.79026e+10 7.78346e+10 1.69725e+11
 120 9.94393e+10 9.94306e+10 9.96444e+10 9.95239e+10 9.98879e+10 9.9802e+10 9.9738e+10 9.96447e+10 2.26991e+11
 140 1.22193e+11 1.2215e+11 1.22437e+11 1.22315e+11 1.22747e+11 1.22617e+11 1.2256e+11 1.2244e+11 2.85842e+11
 160 1.45956e+11 1.45866e+11 1.46232e+11 1.46118e+11 1.46605e+11 1.46441e+11 1.46388e+11 1.4624e+11 3.43896e+11
 180 1.70662e+11 1.70526e+11 1.70964e+11 1.70868e+11 1.71393e+11 1.71222e+11 1.71161e+11 1.70984e+11 3.98947e+11
 200 1.96176e+11 1.96017e+11 1.96517e+11 1.96451e+11 1.96997e+11 1.96844e+11 1.96764e+11 1.96553e+11 4.49078e+11
 200 1.96216e+11 1.96058e+11 1.96515e+11 1.96079e+11 1.97072e+11 1.97124e+11 1.96758e+11 1.9656e+11 4.48245e+11
 400 4.81662e+11 4.82236e+11 4.83177e+11 4.83018e+11 4.84393e+11 4.85054e+11 4.84155e+11 4.83436e+11 5.38371e+11
 600 8.0445e+11 8.06167e+11 8.06563e+11 8.06977e+11 8.10379e+11 8.09835e+11 8.09064e+11 8.07729e+11 3.59843e+11
 800 1.14795e+12 1.15207e+12 1.14958e+12 1.15097e+12 1.15763e+12 1.1552e+12 1.1546e+12 1.1527e+12 3.6512e+11
 1000 1.50449e+12 1.51167e+12 1.50355e+12 1.50768e+12 1.51718e+12 1.51267e+12 1.51251e+12 1.51013e+12 3.53288e+11
 1200 1.8698e+12 1.87936e+12 1.86388e+12 1.87193e+12 1.88337e+12 1.87656e+12 1.87729e+12 1.87478e+12 4.05469e+11
 1400 2.24205e+12 2.25293e+12 2.22949e+12 2.24141e+12 2.25491e+12 2.24474e+12 2.24702e+12 2.24481e+12 4.12212e+11
 1600 2.61783e+12 2.62985e+12 2.59718e+12 2.61519e+12 2.63033e+12 2.61556e+12 2.62036e+12 2.6182e+12 3.65129e+11
 1800 2.99555e+12 3.00916e+12 2.96722e+12 2.99229e+12 3.00725e+12 2.98783e+12 2.99579e+12 2.99373e+12 3.82828e+11
 2000 3.37418e+12 3.38993e+12 3.33894e+12 3.37005e+12 3.3869e+12 3.36147e+12 3.37281e+12 3.37076e+12 3.93825e+11
 2000 3.37603e+12 3.38637e+12 3.35011e+12 3.38061e+12 3.36905e+12 3.32716e+12 3.35894e+12 3.3637e+12 3.93608e+11
 4000 7.1929e+12 7.20555e+12 7.11961e+12 7.16051e+12 7.21285e+12 7.04524e+12 7.13953e+12 7.15279e+12 3.9045e+11
 6000 1.0988e+13 1.09765e+13 1.09078e+13 1.09433e+13 1.10561e+13 1.07942e+13 1.09312e+13 1.09417e+13 3.949e+11
 8000 1.47891e+13 1.48182e+13 1.47187e+13 1.47375e+13 1.49052e+13 1.45666e+13 1.47364e+13 1.4752e+13 4.04376e+11
