# Time-averaged data for fix TEAve
# TimeStep v_TotEn
100000 -37291.1
200000 -37298.8
300000 -37296.1
400000 -37290.5
500000 -37288.2
600000 -37288.4
700000 -37294.2
800000 -37302.9
900000 -37292.2
1000000 -37292.4
1100000 -37301.3
1200000 -37301.6
1300000 -37295.9
1400000 -37285.4
1500000 -37289.6
1600000 -37297.8
1700000 -37286.8
1800000 -37300
1900000 -37290.8
2000000 -37295.1
2100000 -37292.6
2200000 -37293.8
2300000 -37291
2400000 -37289
2500000 -37296.5
2600000 -37302.8
2700000 -37288.4
2800000 -37287.1
2900000 -37295.5
3000000 -37299.9
3100000 -37292
3200000 -37292.1
3300000 -37293.5
3400000 -37293.7
3500000 -37293.6
3600000 -37300.3
3700000 -37300.4
3800000 -37294.3
3900000 -37296.2
4000000 -37299.4
4100000 -37295.2
4200000 -37288.9
4300000 -37297.6
4400000 -37292.4
4500000 -37292.7
4600000 -37289.8
4700000 -37297.5
4800000 -37299.4
4900000 -37300.8
5000000 -37299.8
5100000 -37282.3
5200000 -37297.1
5300000 -37293.8
5400000 -37294.1
5500000 -37299
5600000 -37299.8
5700000 -37298.2
5800000 -37293.7
5900000 -37294.4
6000000 -37296.4
6100000 -37290.5
6200000 -37292.2
6300000 -37286.6
6400000 -37292.7
6500000 -37302.3
6600000 -37293.2
6700000 -37293.7
6800000 -37299.7
6900000 -37298.1
7000000 -37297.4
7100000 -37298.3
7200000 -37298.2
7300000 -37298.6
7400000 -37291.8
7500000 -37291.7
7600000 -37300.4
7700000 -37304.6
7800000 -37298
7900000 -37290.1
8000000 -37293.5
8100000 -37306.4
8200000 -37292.1
8300000 -37291.5
8400000 -37297.5
8500000 -37293.2
8600000 -37299.2
8700000 -37293.3
8800000 -37288.1
8900000 -37290.2
9000000 -37299
9100000 -37294.9
9200000 -37303.2
9300000 -37298.5
9400000 -37297.2
9500000 -37288.1
9600000 -37291.4
9700000 -37306.8
9800000 -37291.4
9900000 -37294.3
10000000 -37293.1
10100000 -37294.4
10200000 -37303
10300000 -37291.7
10400000 -37292.7
10500000 -37289.4
10600000 -37298.3
10700000 -37294.1
10800000 -37294.1
10900000 -37299.6
11000000 -37286.3
11100000 -37285.7
11200000 -37299.4
11300000 -37297
11400000 -37303.2
11500000 -37299
11600000 -37296
11700000 -37289.4
11800000 -37297.1
11900000 -37295.6
12000000 -37297.9
12100000 -37301.9
12200000 -37289.7
12300000 -37292.2
12400000 -37302.2
12500000 -37297
12600000 -37297.9
12700000 -37299
12800000 -37287.4
12900000 -37297
13000000 -37293.9
13100000 -37297.2
13200000 -37297.4
13300000 -37301
13400000 -37294.8
13500000 -37297.6
13600000 -37296.8
13700000 -37290.1
13800000 -37295.5
13900000 -37292.2
14000000 -37294.6
14100000 -37295.3
14200000 -37301.7
14300000 -37298.1
14400000 -37295.5
14500000 -37302
14600000 -37290.9
14700000 -37294.4
14800000 -37295.7
14900000 -37293.9
15000000 -37301.1
15100000 -37290.4
15200000 -37297.7
15300000 -37298.1
15400000 -37296.7
15500000 -37293.8
15600000 -37293.9
15700000 -37296.5
15800000 -37293.6
15900000 -37292.5
16000000 -37296.3
16100000 -37291.1
16200000 -37289.6
16300000 -37292.6
16400000 -37303.5
16500000 -37291.3
16600000 -37289.1
16700000 -37294
16800000 -37297.4
16900000 -37295
17000000 -37287.2
17100000 -37296.6
17200000 -37290.7
17300000 -37289.5
17400000 -37294.5
17500000 -37300.5
17600000 -37296.7
17700000 -37299
17800000 -37300
17900000 -37297.2
18000000 -37296.9
18100000 -37296.8
18200000 -37304.2
18300000 -37295
18400000 -37297.9
18500000 -37299.1
18600000 -37293
18700000 -37300.6
18800000 -37303.5
18900000 -37303.2
19000000 -37289.3
19100000 -37292.6
19200000 -37296.9
19300000 -37296.6
19400000 -37301
19500000 -37293.7
19600000 -37297.9
19700000 -37293.1
19800000 -37296.9
19900000 -37295.2
20000000 -37288.7
20100000 -37297.3
20200000 -37301.4
20300000 -37296.9
20400000 -37294.4
20500000 -37297.7
20600000 -37295.8
20700000 -37294.3
20800000 -37295.8
20900000 -37295.6
21000000 -37302.3
21100000 -37296.7
21200000 -37286.7
21300000 -37293
21400000 -37298.3
21500000 -37289.2
21600000 -37301.8
21700000 -37296.5
21800000 -37299
21900000 -37296.5
22000000 -37289.5
22100000 -37289
22200000 -37295.1
22300000 -37306.6
22400000 -37302.7
22500000 -37300.3
22600000 -37301.9
22700000 -37292.7
22800000 -37297.2
22900000 -37293.1
23000000 -37293.7
23100000 -37291.6
23200000 -37293.8
23300000 -37297.2
23400000 -37290
23500000 -37296.6
23600000 -37295.8
23700000 -37303.8
23800000 -37297.1
23900000 -37296.6
24000000 -37291.3
24100000 -37292.5
24200000 -37291.7
24300000 -37300
24400000 -37297.9
24500000 -37303.3
24600000 -37297.4
24700000 -37286.9
24800000 -37298
24900000 -37294.5
25000000 -37295.6
