#NOTE: MSDs should be divided by the number of molecules of species i (N_i).
#NOTE: MSDs have been divided by the factor 6 (or 2, i.e., MSD_x, MSD_y, and MSD_z).
#Time	MSD__water	MSD__NaCl	
 2000 7465.57 46.955
 4000 12928.4 89.9314
 6000 18265.4 132.613
 8000 23583 175.158
 10000 28892.1 217.547
 12000 34197.7 259.844
 14000 39502 302.073
 16000 44801.9 344.175
 18000 50099.9 386.251
 20000 55395.3 428.167
 20000 55388.1 428.564
 40000 108256 845.282
 60000 161068 1257.88
 80000 213941 1670.02
 100000 266807 2080.52
 120000 319704 2490.53
 140000 372660 2901.11
 160000 425668 3311.57
 180000 478686 3720.94
 200000 531698 4128.47
 200000 530667 4095.87
 400000 1.06053e+06 8183.65
 600000 1.58994e+06 12250.9
 800000 2.11979e+06 16300.3
 1e+06 2.64822e+06 20297.7
 1.2e+06 3.17659e+06 24320.3
 1.4e+06 3.70541e+06 28362.4
 1.6e+06 4.23277e+06 32392.6
 1.8e+06 4.75962e+06 36408.6
 2e+06 5.28753e+06 40391.5
 2e+06 5.26122e+06 40323.1
 4e+06 1.05523e+07 78804.3
 6e+06 1.58399e+07 116451
 8e+06 2.11218e+07 153769
 1e+07 2.64229e+07 192171
 1.2e+07 3.17583e+07 230493
 1.4e+07 3.71345e+07 268971
 1.6e+07 4.24892e+07 309332
 1.8e+07 4.78384e+07 351168
 2e+07 5.31719e+07 391938
 2e+07 5.32027e+07 394957
 4e+07 1.06247e+08 789939
